"Stazione";"Consuma"
"Codice";"TOS01001041"
"Comune";"Rufina"
"Provincia";"FI"
"GB [m]";"E";1708048;"N";4851199
"WGS84 [°]";"Lat";43.784;"Lon";11.585
"Quota [m]";955,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.270968;P
01/08/2022;2.025806;P
01/09/2022;5.146667;P
01/10/2022;0.477419;P
01/11/2022;4.5;P
01/12/2022;6.2;P
01/01/2023;3.903226;P
01/02/2023;2.378571;P
01/03/2023;3.232258;P
01/04/2023;3.32;P
01/05/2023;4.929032;P
01/06/2023;2.033333;P
01/07/2023;1.316129;P
01/08/2023;1.909677;P
01/09/2023;0.793333;P
01/10/2023;6.819355;P
01/11/2023;7.473333;P
01/12/2023;3.903226;P
01/01/2024;2.36;P
01/02/2024;6.7;P
01/03/2024;6.212903;P
01/04/2024;2.84;P
01/05/2024;3.83871;P
01/06/2024;0.966667;P
01/07/2024;0.277419;P
01/08/2024;0.419355;P
01/09/2024;5.213333;P
01/10/2024;5.464516;P
01/11/2024;2.28;P
01/12/2024;3.264516;P
01/01/2026;4.141935;P
01/02/2026;5.778571;P
01/03/2026;2.809677;P
01/04/2026;0.876667;P
01/05/2026;6.065;P
