"Stazione";"S. Brigida all'Opaco"
"Codice";"TOS01001059"
"Comune";"Pontassieve"
"Provincia";"FI"
"GB [m]";"E";1693112;"N";4857923
"WGS84 [°]";"Lat";43.849;"Lon";11.402
"Quota [m]";407,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.290323;P
01/08/2022;2.458065;P
01/09/2022;6.266667;P
01/10/2022;1.103226;P
01/11/2022;5.113333;P
01/12/2022;7.903226;P
01/01/2023;4.490323;P
01/02/2023;1.8;P
01/03/2023;2.651613;P
01/04/2023;3.1;P
01/05/2023;3.251613;P
01/06/2023;3.993333;P
01/07/2023;1.206452;P
01/08/2023;1.941935;P
01/09/2023;0.18;P
01/10/2023;3.193548;P
01/11/2023;6.893333;P
01/12/2023;4.554839;P
01/01/2024;2.493333;P
01/02/2024;3.489655;P
01/03/2024;5.277419;P
01/04/2024;3.146667;P
01/05/2024;4.116129;P
01/06/2024;0.92;P
01/07/2024;0.051613;P
01/08/2024;0.309677;P
01/09/2024;3.913333;P
01/10/2024;6.296774;P
01/11/2024;2.566667;P
01/12/2024;2.890323;P
01/01/2026;6.083871;P
01/02/2026;5.1;P
01/03/2026;3.574194;P
01/04/2026;0.723333;P
01/05/2026;7.95;P
