"Stazione";"Firenze Università"
"Codice";"TOS01001096"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1681124;"N";4852004
"WGS84 [°]";"Lat";43.799;"Lon";11.251
"Quota [m]";84,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.064516;P
01/08/2022;3.03871;P
01/09/2022;3.986667;P
01/10/2022;0.593548;P
01/11/2022;3.48;P
01/12/2022;14.374194;P
01/01/2023;2.612903;P
01/02/2023;0.85;P
01/03/2023;1.987097;P
01/04/2023;2.14;P
01/05/2023;3.090323;P
01/06/2023;1.133333;P
01/07/2023;0.554839;P
01/08/2023;0.529032;P
01/09/2023;0.113333;P
01/10/2023;3.419355;P
01/11/2023;4.906667;P
01/12/2023;2.219355;P
01/01/2024;1.709677;P
01/02/2024;3.165517;P
01/03/2024;3.625806;P
01/04/2024;2.206667;P
01/05/2024;3.503226;P
01/06/2024;1.846667;P
01/07/2024;0.032258;P
01/08/2024;0.032258;P
01/09/2024;3.186667;P
01/10/2024;6.064516;P
01/11/2024;1.313333;P
01/12/2024;2.025806;P
01/01/2026;3.593548;P
01/02/2026;3.007143;P
01/03/2026;1.374194;P
01/04/2026;0.18;P
01/05/2026;7.575;P
