"Stazione";"Caldine"
"Codice";"TOS01001103"
"Comune";"Fiesole"
"Provincia";"FI"
"GB [m]";"E";1685841;"N";4856688
"WGS84 [°]";"Lat";43.840;"Lon";11.311
"Quota [m]";225,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.129032;P
01/08/2022;2.335484;P
01/09/2022;5.146667;P
01/10/2022;0.696774;P
01/11/2022;3.906667;P
01/12/2022;6.535484;P
01/01/2023;3.645161;P
01/02/2023;1.428571;P
01/03/2023;2.193548;P
01/04/2023;2.806667;P
01/05/2023;3.277419;P
01/06/2023;1.62;P
01/07/2023;0.651613;P
01/08/2023;1.393548;P
01/09/2023;0.146667;P
01/10/2023;3.864516;P
01/11/2023;4.046667;P
01/12/2023;2.812903;P
01/01/2024;2.03871;P
01/02/2024;3.606897;P
01/03/2024;4.612903;P
01/04/2024;2.446667;P
01/05/2024;3.993548;P
01/06/2024;1.433333;P
01/07/2024;0.225806;P
01/08/2024;0.064516;P
01/09/2024;3.54;P
01/10/2024;6.567742;P
01/11/2024;1.833333;P
01/12/2024;2.819355;P
01/01/2026;5.025806;P
01/02/2026;3.857143;P
01/03/2026;2.819355;P
01/04/2026;0.393333;P
01/05/2026;7.685;P
