"Stazione";"Ferrone"
"Codice";"TOS01001129"
"Comune";"Greve in Chianti"
"Provincia";"FI"
"GB [m]";"E";1682627;"N";4835329
"WGS84 [°]";"Lat";43.648;"Lon";11.264
"Quota [m]";150,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.032258;P
01/08/2022;4.606452;P
01/09/2022;4.94;P
01/10/2022;0.580645;P
01/11/2022;3.393333;P
01/12/2022;3.696774;P
01/01/2023;2.206452;P
01/02/2023;1.142857;P
01/03/2023;1.296774;P
01/04/2023;2.073333;P
01/05/2023;3.032258;P
01/06/2023;2.033333;P
01/07/2023;0.716129;P
01/08/2023;1.432258;P
01/09/2023;0.246667;P
01/10/2023;2.967742;P
01/11/2023;4.26;P
01/12/2023;2.43871;P
01/01/2024;1.922581;P
01/02/2024;2.77931;P
01/03/2024;4.2;P
01/04/2024;2.166667;P
01/05/2024;2.63871;P
01/06/2024;2.593333;P
01/07/2024;0.851613;P
01/08/2024;0.496774;P
01/09/2024;4.28;P
01/10/2024;5.470968;P
01/11/2024;0.88;P
01/12/2024;2.432258;P
01/01/2026;3.593548;P
01/02/2026;2.864286;P
01/03/2026;1.419355;P
01/04/2026;0.406667;P
01/05/2026;3.895;P
