"Stazione";"Case Passerini"
"Codice";"TOS01001225"
"Comune";"Sesto Fiorentino"
"Provincia";"FI"
"GB [m]";"E";1674393;"N";4854154
"WGS84 [°]";"Lat";43.820;"Lon";11.168
"Quota [m]";33,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.213333;P
01/08/2022;3.090323;P
01/09/2022;3.4;P
01/10/2022;0.632258;P
01/11/2022;3.28;P
01/12/2022;5.703226;P
01/01/2023;3.135484;P
01/02/2023;0.864286;P
01/03/2023;1.825806;P
01/04/2023;2.286667;P
01/05/2023;2.206452;P
01/06/2023;2.013333;P
01/07/2023;0.825806;P
01/08/2023;0.56129;P
01/09/2023;0.16;P
01/10/2023;3.264516;P
01/11/2023;5.86;P
01/12/2023;1.077419;P
01/01/2024;1.8;P
01/02/2024;3.958621;P
01/03/2024;3.4;P
01/04/2024;1.853333;P
01/05/2024;2.735484;P
01/06/2024;2.28;P
01/07/2024;0.077419;P
01/08/2024;0.16129;P
01/09/2024;4.96;P
01/10/2024;6.529032;P
01/11/2024;1.6;P
01/12/2024;2.096774;P
01/01/2026;4.290323;P
01/02/2026;3.107143;P
01/03/2026;1.477419;P
01/04/2026;0.12;P
01/05/2026;6.76;P
