"Stazione";"Poggio Aglione"
"Codice";"TOS01001445"
"Comune";"Gambassi Terme"
"Provincia";"FI"
"GB [m]";"E";1655820;"N";4821481
"WGS84 [°]";"Lat";43.530;"Lon";10.928
"Quota [m]";441,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.316129;P
01/08/2022;2.529032;P
01/09/2022;5.106667;P
01/10/2022;0.522581;P
01/11/2022;4.053333;P
01/12/2022;4.064516;P
01/01/2023;2.458065;P
01/02/2023;1.021429;P
01/03/2023;0.851613;P
01/04/2023;1.22;P
01/05/2023;3.058065;P
01/06/2023;2.353333;P
01/07/2023;0.625806;P
01/08/2023;0.683871;P
01/09/2023;0.1;P
01/10/2023;4.251613;P
01/11/2023;4.98;P
01/12/2023;1.580645;P
01/01/2024;1.741935;P
01/02/2024;3.744828;P
01/03/2024;3.645161;P
01/04/2024;2.2;P
01/05/2024;1.851613;P
01/06/2024;1.06;P
01/07/2024;0.206452;P
01/08/2024;2.774194;P
01/09/2024;4.16;P
01/10/2024;6.425806;P
01/11/2024;0.626667;P
01/12/2024;3.045161;P
01/01/2026;3.916129;P
01/02/2026;3.135714;P
01/03/2026;1.5;P
01/04/2026;0.9;P
01/05/2026;6.36;P
