"Stazione";"Strada in Chianti"
"Codice";"TOS01004725"
"Comune";"Greve in Chianti"
"Provincia";"FI"
"GB [m]";"E";1686642;"N";4837210
"WGS84 [°]";"Lat";43.664;"Lon";11.315
"Quota [m]";144,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.019355;P
01/08/2022;5.232258;P
01/09/2022;4.52;P
01/10/2022;0.509677;P
01/11/2022;3.153333;P
01/12/2022;3.806452;P
01/01/2023;1.993548;P
01/02/2023;0.957143;P
01/03/2023;1.348387;P
01/04/2023;1.286667;P
01/05/2023;3.277419;P
01/06/2023;3.653333;P
01/07/2023;0.658065;P
01/08/2023;1.270968;P
01/09/2023;0.3;P
01/10/2023;3.083871;P
01/11/2023;3.966667;P
01/12/2023;2.335484;P
01/01/2024;1.677419;P
01/02/2024;2.462069;P
01/03/2024;4.148387;P
01/04/2024;2.773333;P
01/05/2024;3.225806;P
01/06/2024;1.326667;P
01/07/2024;0.083871;P
01/08/2024;1.380645;P
01/09/2024;3.746667;P
01/10/2024;4.890323;P
01/11/2024;0.88;P
01/12/2024;2.167742;P
01/01/2026;3.212903;P
01/02/2026;2.671429;P
01/03/2026;1.406452;P
01/04/2026;0.333333;P
01/05/2026;4.25;P
