"Stazione";"Ponte a Signa"
"Codice";"TOS01004811"
"Comune";"Signa"
"Provincia";"FI"
"GB [m]";"E";1668470;"N";4848812
"WGS84 [°]";"Lat";43.773;"Lon";11.093
"Quota [m]";32,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.077419;P
01/08/2022;3.03871;P
01/09/2022;3.12;P
01/10/2022;0.458065;P
01/11/2022;3.86;P
01/12/2022;5.406452;P
01/01/2023;1.645161;P
01/02/2023;0.207143;P
01/03/2023;0.503226;P
01/04/2023;2.0;P
01/05/2023;2.419355;P
01/06/2023;1.5;P
01/07/2023;0.406452;P
01/08/2023;0.16129;P
01/09/2023;0.02;P
01/10/2023;3.812903;P
01/11/2023;4.493333;P
01/12/2023;2.174194;P
01/01/2024;2.193548;P
01/02/2024;3.986207;P
01/03/2024;3.354839;P
01/04/2024;1.766667;P
01/05/2024;2.490323;P
01/06/2024;1.18;P
01/07/2024;0.696774;P
01/08/2024;0.116129;P
01/09/2024;4.813333;P
01/10/2024;6.870968;P
01/11/2024;1.733333;P
01/12/2024;2.277419;P
01/01/2026;4.43871;P
01/02/2026;3.321429;P
01/03/2026;1.387097;P
01/04/2026;0.5;P
01/05/2026;5.48;P
