"Stazione";"Montespertoli"
"Codice";"TOS01004915"
"Comune";"Montespertoli"
"Provincia";"FI"
"GB [m]";"E";1668768;"N";4835144
"WGS84 [°]";"Lat";43.650;"Lon";11.092
"Quota [m]";117,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.006452;P
01/08/2022;3.064516;P
01/09/2022;3.133333;P
01/10/2022;0.529032;P
01/11/2022;3.413333;P
01/12/2022;3.425806;P
01/01/2023;1.670968;P
01/02/2023;0.721429;P
01/03/2023;1.367742;P
01/04/2023;1.48;P
01/05/2023;2.677419;P
01/06/2023;1.14;P
01/07/2023;0.348387;P
01/08/2023;1.754839;P
01/09/2023;0.273333;P
01/10/2023;2.470968;P
01/11/2023;4.333333;P
01/12/2023;1.754839;P
01/01/2024;1.141935;P
01/02/2024;3.827586;P
01/03/2024;3.709677;P
01/04/2024;1.94;P
01/05/2024;3.141935;P
01/06/2024;1.166667;P
01/07/2024;0.167742;P
01/08/2024;0.625806;P
01/09/2024;3.646667;P
01/10/2024;5.251613;P
01/11/2024;0.926667;P
01/12/2024;2.135484;P
01/01/2026;3.070968;P
01/02/2026;2.314286;P
01/03/2026;1.03871;P
01/04/2026;0.406667;P
01/05/2026;5.355;P
