"Stazione";"Turbone"
"Codice";"TOS01004921"
"Comune";"Montelupo Fiorentino"
"Provincia";"FI"
"GB [m]";"E";1664028;"N";4842650
"WGS84 [°]";"Lat";43.719;"Lon";11.036
"Quota [m]";45,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.0;P
01/08/2022;3.232258;P
01/09/2022;4.066667;P
01/10/2022;0.554839;P
01/11/2022;4.433333;P
01/12/2022;5.232258;P
01/01/2023;2.483871;P
01/02/2023;0.978571;P
01/03/2023;2.045161;P
01/04/2023;1.646667;P
01/05/2023;2.406452;P
01/06/2023;3.833333;P
01/07/2023;0.509677;P
01/08/2023;0.793548;P
01/09/2023;0.373333;P
01/10/2023;4.335484;P
01/11/2023;4.826667;P
01/12/2023;1.664516;P
01/01/2024;2.0;P
01/02/2024;3.655172;P
01/03/2024;3.277419;P
01/04/2024;1.48;P
01/05/2024;2.109677;P
01/06/2024;1.033333;P
01/07/2024;0.393548;P
01/08/2024;0.2;P
01/09/2024;4.613333;P
01/10/2024;5.309677;P
01/11/2024;1.32;P
01/12/2024;1.832258;P
01/01/2026;4.425806;P
01/02/2026;2.992857;P
01/03/2026;1.141935;P
01/04/2026;0.44;P
01/05/2026;3.9;P
