"Stazione";"Empoli"
"Codice";"TOS01004941"
"Comune";"Empoli"
"Provincia";"FI"
"GB [m]";"E";1656789;"N";4843079
"WGS84 [°]";"Lat";43.724;"Lon";10.946
"Quota [m]";25,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.012903;P
01/08/2022;3.348387;P
01/09/2022;3.186667;P
01/10/2022;0.509677;P
01/11/2022;3.833333;P
01/12/2022;6.122581;P
01/01/2023;3.245161;P
01/02/2023;0.828571;P
01/03/2023;1.606452;P
01/04/2023;2.126667;P
01/05/2023;2.296774;P
01/06/2023;1.726667;P
01/07/2023;0.483871;P
01/08/2023;1.522581;P
01/09/2023;0.193333;P
01/10/2023;4.070968;P
01/11/2023;6.426667;P
01/12/2023;1.6;P
01/01/2024;1.612903;P
01/02/2024;3.62069;P
01/03/2024;3.277419;P
01/04/2024;1.473333;P
01/05/2024;2.729032;P
01/06/2024;2.16;P
01/07/2024;0.819355;P
01/08/2024;0.348387;P
01/09/2024;4.98;P
01/10/2024;5.909677;P
01/11/2024;1.573333;P
01/12/2024;1.851613;P
01/01/2026;4.432258;P
01/02/2026;3.557143;P
01/03/2026;1.593548;P
01/04/2026;1.226667;P
01/05/2026;3.32;P
