"Stazione";"Certaldo"
"Codice";"TOS01004967"
"Comune";"Certaldo"
"Provincia";"FI"
"GB [m]";"E";1664410;"N";4823332
"WGS84 [°]";"Lat";43.545;"Lon";11.035
"Quota [m]";65,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.03871;P
01/08/2022;3.354839;P
01/09/2022;4.293333;P
01/10/2022;0.4;P
01/11/2022;3.613333;P
01/12/2022;3.283871;P
01/01/2023;2.116129;P
01/02/2023;0.842857;P
01/03/2023;1.193548;P
01/04/2023;0.946667;P
01/05/2023;2.696774;P
01/06/2023;2.346667;P
01/07/2023;0.374194;P
01/08/2023;1.077419;P
01/09/2023;0.033333;P
01/10/2023;3.464516;P
01/11/2023;4.384615;P
01/12/2023;1.787097;P
01/01/2024;1.129032;P
01/02/2024;3.372414;P
01/03/2024;2.948387;P
01/04/2024;1.92;P
01/05/2024;2.154839;P
01/06/2024;1.373333;P
01/07/2024;0.348387;P
01/08/2024;2.174194;P
01/09/2024;3.746667;P
01/10/2024;6.148387;P
01/11/2024;0.72;P
01/12/2024;3.077419;P
01/01/2026;2.877419;P
01/02/2026;2.785714;P
01/03/2026;1.432258;P
01/04/2026;0.373333;P
01/05/2026;4.47;P
