"Stazione";"Castelfiorentino"
"Codice";"TOS01004971"
"Comune";"Castelfiorentino"
"Provincia";"FI"
"GB [m]";"E";1658891;"N";4829844
"WGS84 [°]";"Lat";43.604;"Lon";10.968
"Quota [m]";50,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.135484;P
01/08/2022;3.464516;P
01/09/2022;4.74;P
01/10/2022;0.43871;P
01/11/2022;3.84;P
01/12/2022;3.86;P
01/01/2023;2.303226;P
01/02/2023;0.778571;P
01/03/2023;1.109677;P
01/04/2023;1.233333;P
01/05/2023;2.270968;P
01/06/2023;2.366667;P
01/07/2023;1.03871;P
01/08/2023;1.535484;P
01/09/2023;0.113333;P
01/10/2023;4.264516;P
01/11/2023;4.92;P
01/12/2023;1.554839;P
01/01/2024;1.483871;P
01/02/2024;3.013793;P
01/03/2024;3.516129;P
01/04/2024;1.74;P
01/05/2024;2.187097;P
01/06/2024;1.98;P
01/07/2024;0.103226;P
01/08/2024;2.625806;P
01/09/2024;3.94;P
01/10/2024;5.445161;P
01/11/2024;1.14;P
01/12/2024;2.535484;P
01/01/2026;3.690323;P
01/02/2026;3.007143;P
01/03/2026;1.487097;P
01/04/2026;0.32;P
01/05/2026;7.89;P
