"Stazione";"Monte Giovi"
"Codice";"TOS03001001"
"Comune";"Vicchio"
"Provincia";"FI"
"GB [m]";"E";1696666;"N";4861124
"WGS84 [°]";"Lat";43.877;"Lon";11.448
"Quota [m]";960,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.225806;P
01/08/2022;2.096774;P
01/09/2022;6.693333;P
01/10/2022;0.780645;P
01/11/2022;2.930769;P
01/12/2022;7.16129;P
01/01/2023;4.664516;P
01/02/2023;1.392857;P
01/03/2023;2.316129;P
01/04/2023;2.666667;P
01/05/2023;3.974194;P
01/06/2023;4.04;P
01/07/2023;1.129032;P
01/08/2023;1.374194;P
01/09/2023;0.113333;P
01/10/2023;4.180645;P
01/11/2023;7.046667;P
01/12/2023;5.567742;P
01/01/2024;2.754839;P
01/02/2024;3.317241;P
01/03/2024;4.716129;P
01/04/2024;2.76;P
01/05/2024;4.606452;P
01/06/2024;2.073333;P
01/07/2024;0.258065;P
01/08/2024;0.283871;P
01/09/2024;4.033333;P
01/10/2024;7.374194;P
01/11/2024;2.826667;P
01/12/2024;3.548148;P
01/01/2026;6.348387;P
01/02/2026;5.678571;P
01/03/2026;3.006452;P
01/04/2026;1.166667;P
01/05/2026;8.33;P
