"Stazione";"Firenze Orto Botanico"
"Codice";"TOS03001097"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1681960;"N";4849883
"WGS84 [°]";"Lat";43.780;"Lon";11.261
"Quota [m]";48,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.064516;P
01/08/2022;3.103226;P
01/09/2022;5.373333;P
01/10/2022;0.670968;P
01/11/2022;3.36;P
01/12/2022;4.658065;P
01/01/2023;2.36129;P
01/02/2023;1.278571;P
01/03/2023;1.625806;P
01/04/2023;2.22;P
01/05/2023;3.258065;P
01/06/2023;1.886667;P
01/07/2023;0.6;P
01/08/2023;0.587097;P
01/09/2023;0.02;P
01/10/2023;3.206452;P
01/11/2023;4.34;P
01/12/2023;1.387097;P
01/01/2024;0.922581;P
01/02/2024;2.434483;P
01/03/2024;2.187097;P
01/04/2024;1.446667;P
01/05/2024;3.277419;P
01/06/2024;1.986667;P
01/07/2024;0.032258;P
01/08/2024;0.083871;P
01/09/2024;2.26;P
01/10/2024;4.341935;P
01/11/2024;0.92;P
01/12/2024;1.625806;P
01/01/2026;3.767742;P
01/02/2026;3.264286;P
01/03/2026;1.545161;P
01/04/2026;0.18;P
01/05/2026;5.675;P
