"Stazione";"Firenze Giardino di Boboli"
"Codice";"TOS03001099"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1681255;"N";4847912
"WGS84 [°]";"Lat";43.762;"Lon";11.251
"Quota [m]";112,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.05;P
01/08/2022;3.477419;P
01/09/2022;4.74;P
01/10/2022;0.651613;P
01/11/2022;3.793333;P
01/12/2022;4.690323;P
01/01/2023;2.374194;P
01/02/2023;0.971429;P
01/03/2023;1.541935;P
01/04/2023;2.093333;P
01/05/2023;3.070968;P
01/06/2023;2.32;P
01/07/2023;0.948387;P
01/08/2023;1.019355;P
01/09/2023;0.02;P
01/10/2023;3.187097;P
01/11/2023;4.933333;P
01/12/2023;2.270968;P
01/01/2024;1.393548;P
01/02/2024;3.048276;P
01/03/2024;3.503226;P
01/04/2024;2.166667;P
01/05/2024;3.348387;P
01/06/2024;2.366667;P
01/07/2024;0.316129;P
01/08/2024;0.070968;P
01/09/2024;3.14;P
01/10/2024;6.251613;P
01/11/2024;1.293333;P
01/12/2024;2.103226;P
01/01/2026;3.432258;P
01/02/2026;3.314286;P
01/03/2026;1.929032;P
01/04/2026;0.22;P
01/05/2026;5.88;P
