"Stazione";"Poggio alla Croce"
"Codice";"TOS03001135"
"Comune";"Figline e Incisa Valdarno"
"Provincia";"FI"
"GB [m]";"E";1692971;"N";4835808
"WGS84 [°]";"Lat";43.650;"Lon";11.392
"Quota [m]";500,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.290323;P
01/08/2022;4.767742;P
01/09/2022;5.446667;P
01/10/2022;0.367742;P
01/11/2022;4.2;P
01/12/2022;4.322581;P
01/01/2023;2.329032;P
01/02/2023;1.135714;P
01/03/2023;1.477419;P
01/04/2023;1.52;P
01/05/2023;4.322581;P
01/06/2023;2.24;P
01/07/2023;0.690323;P
01/08/2023;1.264516;P
01/09/2023;0.72;P
01/10/2023;4.922581;P
01/11/2023;5.426667;P
01/12/2023;1.903226;P
01/01/2024;2.103226;P
01/02/2024;3.462069;P
01/03/2024;4.548387;P
01/04/2024;2.786667;P
01/05/2024;2.806452;P
01/06/2024;1.206667;P
01/07/2024;0.109677;P
01/08/2024;1.36129;P
01/09/2024;5.113333;P
01/10/2024;4.174194;P
01/11/2024;1.053333;P
01/12/2024;2.322581;P
01/01/2026;4.329032;P
01/02/2026;3.485714;P
01/03/2026;1.490323;P
01/04/2026;0.446667;P
01/05/2026;3.094737;P
