"Stazione";"S. Donato in Collina"
"Codice";"TOS03001137"
"Comune";"Bagno a Ripoli"
"Provincia";"FI"
"GB [m]";"E";1691800;"N";4843614
"WGS84 [°]";"Lat";43.721;"Lon";11.381
"Quota [m]";382,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.187097;P
01/08/2022;4.522581;P
01/09/2022;5.413333;P
01/10/2022;0.529032;P
01/11/2022;3.933333;P
01/12/2022;5.070968;P
01/01/2023;2.606452;P
01/02/2023;1.228571;P
01/03/2023;2.058065;P
01/04/2023;2.153333;P
01/05/2023;3.896774;P
01/06/2023;2.453333;P
01/07/2023;1.470968;P
01/08/2023;1.219355;P
01/09/2023;0.26;P
01/10/2023;4.212903;P
01/11/2023;4.886667;P
01/12/2023;3.193548;P
01/01/2024;2.03871;P
01/02/2024;3.655172;P
01/03/2024;5.193548;P
01/04/2024;2.96;P
01/05/2024;3.264516;P
01/06/2024;1.473333;P
01/07/2024;0.058065;P
01/08/2024;1.754839;P
01/09/2024;3.98;P
01/10/2024;6.03871;P
01/11/2024;1.493333;P
01/12/2024;2.722581;P
01/01/2026;4.23871;P
01/02/2026;4.078571;P
01/03/2026;2.087097;P
01/04/2026;0.433333;P
01/05/2026;4.93;P
