"Stazione";"Stabbia"
"Codice";"TOS10001650"
"Comune";"Cerreto Guidi"
"Provincia";"FI"
"GB [m]";"E";1647037;"N";4849947
"WGS84 [°]";"Lat";43.788;"Lon";10.827
"Quota [m]";16,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.03871;P
01/08/2022;6.735484;P
01/09/2022;2.246667;P
01/10/2022;0.012903;P
01/11/2022;3.88;P
01/12/2022;1.625806;P
01/01/2023;2.303226;P
01/02/2023;0.907143;P
01/03/2023;1.890323;P
01/04/2023;1.98;P
01/05/2023;2.954839;P
01/06/2023;1.426667;P
01/07/2023;0.36129;P
01/08/2023;1.025806;P
01/09/2023;0.32;P
01/10/2023;4.296774;P
01/11/2023;7.673333;P
01/12/2023;1.448;P
01/01/2024;1.419355;P
01/02/2024;4.448276;P
01/03/2024;4.258065;P
01/04/2024;1.493333;P
01/05/2024;3.690323;P
01/06/2024;2.3;P
01/07/2024;0.006452;P
01/08/2024;0.477419;P
01/09/2024;5.78;P
01/10/2024;6.025806;P
01/11/2024;1.04;P
01/12/2024;1.477419;P
01/01/2026;0.032258;P
01/02/2026;1.864286;P
01/03/2026;1.348387;P
01/04/2026;0.686667;P
01/05/2026;6.76;P
