"Stazione";"Castelfalfi"
"Codice";"TOS10001740"
"Comune";"Montaione"
"Provincia";"FI"
"GB [m]";"E";1650681;"N";4823308
"WGS84 [°]";"Lat";43.547;"Lon";10.865
"Quota [m]";270,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.2;P
01/08/2022;5.527273;@
01/09/2022;6.154545;P
01/10/2022;0.929032;P
01/11/2022;4.053333;P
01/12/2022;3.851613;P
01/01/2023;2.748387;P
01/02/2023;1.378571;P
01/03/2023;1.045161;P
01/04/2023;1.446667;P
01/05/2023;3.412903;P
01/06/2023;1.22;P
01/07/2023;0.935484;P
01/08/2023;0.948387;P
01/09/2023;0.1;P
01/10/2023;1.4;P
01/11/2023;2.496552;P
01/12/2023;0.128571;P
01/01/2024;0.083871;P
01/02/2024;1.931034;P
01/03/2024;4.690323;P
01/04/2024;1.82;P
01/05/2024;2.593548;P
01/06/2024;1.913333;P
01/07/2024;0.232258;P
01/08/2024;3.225806;P
01/09/2024;3.926667;P
01/10/2024;5.812903;P
01/11/2024;0.873333;P
01/12/2024;2.606452;P
01/01/2026;1.83871;P
01/02/2026;0.021429;P
01/03/2026;1.045161;P
01/04/2026;0.986667;P
01/05/2026;6.64;P
