"Stazione";"Barberino"
"Codice";"TOS11000022"
"Comune";"Barberino Tavarnelle"
"Provincia";"FI"
"GB [m]";"E";1680752;"N";4820091
"WGS84 [°]";"Lat";43.512;"Lon";11.236
"Quota [m]";430,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.090323;P
01/08/2022;3.341935;P
01/09/2022;6.786667;P
01/10/2022;0.129032;P
01/11/2022;3.666667;P
01/12/2022;3.709677;P
01/01/2023;2.232258;P
01/02/2023;1.235714;P
01/03/2023;1.690323;P
01/04/2023;2.273333;P
01/05/2023;4.367742;P
01/06/2023;2.92;P
01/07/2023;0.993548;P
01/08/2023;1.187097;P
01/09/2023;1.146667;P
01/10/2023;3.322581;P
01/11/2023;3.606667;P
01/12/2023;1.090323;P
01/01/2024;1.967742;P
01/02/2024;3.462069;P
01/03/2024;4.045161;P
01/04/2024;2.226667;P
01/05/2024;3.154839;P
01/06/2024;1.6;P
01/07/2024;0.529032;P
01/08/2024;0.741935;P
01/09/2024;4.146667;P
01/10/2024;5.832258;P
01/11/2024;0.386667;P
01/12/2024;3.36129;P
01/01/2026;3.793548;P
01/02/2026;3.085714;P
01/03/2026;0.958065;P
01/04/2026;0.546667;P
01/05/2026;3.31;P
