"Stazione";"Lamole"
"Codice";"TOS11000023"
"Comune";"Greve in Chianti"
"Provincia";"FI"
"GB [m]";"E";1690328;"N";4823727
"WGS84 [°]";"Lat";43.542;"Lon";11.355
"Quota [m]";536,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.767742;P
01/08/2022;3.812903;P
01/09/2022;6.726667;P
01/10/2022;0.232258;P
01/11/2022;4.653333;P
01/12/2022;5.903226;P
01/01/2023;2.76129;P
01/02/2023;1.592857;P
01/03/2023;2.058065;P
01/04/2023;2.013333;P
01/05/2023;3.019355;P
01/06/2023;4.52;P
01/07/2023;1.109677;P
01/08/2023;1.774194;P
01/09/2023;0.866667;P
01/10/2023;4.283871;P
01/11/2023;4.506667;P
01/12/2023;1.916129;P
01/01/2024;2.567742;P
01/02/2024;4.924138;P
01/03/2024;5.329032;P
01/04/2024;2.133333;P
01/05/2024;3.445161;P
01/06/2024;1.833333;P
01/07/2024;0.219355;P
01/08/2024;0.612903;P
01/09/2024;5.18;P
01/10/2024;5.503226;P
01/11/2024;0.866667;P
01/12/2024;3.483871;P
01/01/2026;3.864516;P
01/02/2026;3.792857;P
01/03/2026;1.345161;P
01/04/2026;0.493333;P
01/05/2026;5.155;P
