"Stazione";"Sambuca"
"Codice";"TOS11000057"
"Comune";"San Casciano in Val di Pesa"
"Provincia";"FI"
"GB [m]";"E";1680375;"N";4829328
"WGS84 [°]";"Lat";43.595;"Lon";11.234
"Quota [m]";325,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.045161;P
01/08/2022;3.470968;P
01/09/2022;5.006667;P
01/10/2022;0.43871;P
01/11/2022;3.793333;P
01/12/2022;3.619355;P
01/01/2023;2.245161;P
01/02/2023;1.285714;P
01/03/2023;1.593548;P
01/04/2023;2.02;P
01/05/2023;3.445161;P
01/06/2023;2.386667;P
01/07/2023;0.548387;P
01/08/2023;1.903226;P
01/09/2023;0.506667;P
01/10/2023;3.451613;P
01/11/2023;4.046667;P
01/12/2023;1.741935;P
01/01/2024;1.954839;P
01/02/2024;2.793103;P
01/03/2024;4.16129;P
01/04/2024;2.533333;P
01/05/2024;3.090323;P
01/06/2024;0.806667;P
01/07/2024;1.051613;P
01/08/2024;0.219355;P
01/09/2024;6.666667;P
01/10/2024;5.896774;P
01/11/2024;0.753333;P
01/12/2024;2.948387;P
01/01/2026;3.916129;P
01/02/2026;2.9;P
01/03/2026;1.216129;P
01/04/2026;0.42;P
01/05/2026;4.215;P
