"Stazione";"Cerreto Guidi"
"Codice";"TOS11000071"
"Comune";"Cerreto Guidi"
"Provincia";"FI"
"GB [m]";"E";1652510;"N";4844974
"WGS84 [°]";"Lat";43.742;"Lon";10.894
"Quota [m]";70,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.180645;P
01/08/2022;3.393548;P
01/09/2022;2.753333;P
01/10/2022;0.406452;P
01/11/2022;3.806667;P
01/12/2022;5.43871;P
01/01/2023;2.509677;P
01/02/2023;0.878571;P
01/03/2023;1.277419;P
01/04/2023;1.626667;P
01/05/2023;2.593548;P
01/06/2023;1.286667;P
01/07/2023;0.445161;P
01/08/2023;0.748387;P
01/09/2023;0.473333;P
01/10/2023;3.096774;P
01/11/2023;5.52;P
01/12/2023;1.4;P
01/01/2024;1.722581;P
01/02/2024;3.565517;P
01/03/2024;2.819355;P
01/04/2024;1.286667;P
01/05/2024;2.032258;P
01/06/2024;2.06;P
01/07/2024;0.6;P
01/08/2024;0.412903;P
01/09/2024;4.286667;P
01/10/2024;5.890323;P
01/11/2024;1.566667;P
01/12/2024;1.458065;P
01/01/2026;4.793548;P
01/02/2026;3.785714;P
01/03/2026;1.145161;P
01/04/2026;0.786667;P
01/05/2026;5.77;P
