"Stazione";"Greve in Chianti"
"Codice";"TOS11000073"
"Comune";"Greve in Chianti"
"Provincia";"FI"
"GB [m]";"E";1685971;"N";4831357
"WGS84 [°]";"Lat";43.612;"Lon";11.304
"Quota [m]";254,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.019355;P
01/08/2022;5.322581;P
01/09/2022;5.28;P
01/10/2022;0.432258;P
01/11/2022;3.893333;P
01/12/2022;3.483871;P
01/01/2023;2.43871;P
01/02/2023;1.35;P
01/03/2023;1.406452;P
01/04/2023;1.933333;P
01/05/2023;3.851613;P
01/06/2023;2.366667;P
01/07/2023;0.664516;P
01/08/2023;1.593548;P
01/09/2023;0.553333;P
01/10/2023;4.264516;P
01/11/2023;4.446667;P
01/12/2023;1.490323;P
01/01/2024;2.148387;P
01/02/2024;2.82069;P
01/03/2024;4.174194;P
01/04/2024;2.3;P
01/05/2024;3.270968;P
01/06/2024;1.44;P
01/07/2024;0.56129;P
01/08/2024;0.587097;P
01/09/2024;4.76;P
01/10/2024;5.4;P
01/11/2024;0.846667;P
01/12/2024;2.858065;P
01/01/2026;3.746667;P
01/02/2026;2.85;P
01/03/2026;1.054839;P
01/04/2026;0.393333;P
01/05/2026;3.08;P
