"Stazione";"Pelago"
"Codice";"TOS11000089"
"Comune";"Pelago"
"Provincia";"FI"
"GB [m]";"E";1701473;"N";4848170
"WGS84 [°]";"Lat";43.759;"Lon";11.502
"Quota [m]";325,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.225806;P
01/08/2022;2.006452;P
01/09/2022;4.566667;P
01/10/2022;0.522581;P
01/11/2022;3.38;P
01/12/2022;4.819355;P
01/01/2023;3.258065;P
01/02/2023;1.857143;P
01/03/2023;1.980645;P
01/04/2023;2.5;P
01/05/2023;3.374194;P
01/06/2023;1.433333;P
01/07/2023;1.045161;P
01/08/2023;1.632258;P
01/09/2023;0.7;P
01/10/2023;3.367742;P
01/11/2023;4.886667;P
01/12/2023;2.645161;P
01/01/2024;1.567742;P
01/02/2024;3.351724;P
01/03/2024;5.219355;P
01/04/2024;2.566667;P
01/05/2024;3.129032;P
01/06/2024;2.14;P
01/07/2024;0.406452;P
01/08/2024;0.593548;P
01/09/2024;4.293333;P
01/10/2024;5.103226;P
01/11/2024;1.486667;P
01/12/2024;2.580645;P
01/01/2026;4.051613;P
01/02/2026;3.985714;P
01/03/2026;2.525806;P
01/04/2026;0.843333;P
01/05/2026;5.34;P
