"Stazione";"Giogo"
"Codice";"TOS11000108"
"Comune";"Firenzuola"
"Provincia";"FI"
"GB [m]";"E";1691442;"N";4879927
"WGS84 [°]";"Lat";44.047;"Lon";11.389
"Quota [m]";880,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.090323;P
01/08/2022;2.329032;P
01/09/2022;3.753333;P
01/10/2022;0.735484;P
01/11/2022;3.32;P
01/12/2022;6.516129;P
01/01/2023;2.625806;P
01/02/2023;0.835714;P
01/03/2023;2.258065;P
01/04/2023;1.36;P
01/05/2023;2.129032;P
01/06/2023;1.006667;P
01/07/2023;0.935484;P
01/08/2023;1.23871;P
01/09/2023;0.34;P
01/10/2023;6.503226;P
01/11/2023;9.466667;P
01/12/2023;4.606452;P
01/01/2024;3.077419;P
01/02/2024;4.565517;P
01/03/2024;3.903226;P
01/04/2024;1.926667;P
01/05/2024;3.767742;P
01/06/2024;5.513333;P
01/07/2024;0.16129;P
01/08/2024;0.8;P
01/09/2024;5.206667;P
01/10/2024;8.051613;P
01/11/2024;2.493333;P
01/12/2024;1.264516;P
01/01/2026;4.109677;P
01/02/2026;5.121429;P
01/03/2026;1.619355;P
01/04/2026;0.493333;P
01/05/2026;8.16;P
