"Stazione";"Casa Sartori"
"Codice";"TOS11000505"
"Comune";"Montespertoli"
"Provincia";"FI"
"GB [m]";"E";1664647;"N";4836960
"WGS84 [°]";"Lat";43.667;"Lon";11.042
"Quota [m]";198,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.0;P
01/08/2022;3.006452;P
01/09/2022;5.413333;P
01/10/2022;0.677419;P
01/11/2022;3.566667;P
01/12/2022;3.451613;P
01/01/2023;1.883871;P
01/02/2023;0.878571;P
01/03/2023;1.935484;P
01/04/2023;1.486667;P
01/05/2023;3.283871;P
01/06/2023;1.14;P
01/07/2023;0.503226;P
01/08/2023;1.974194;P
01/09/2023;0.186667;P
01/10/2023;3.690323;P
01/11/2023;4.786667;P
01/12/2023;1.535484;P
01/01/2024;1.36129;P
01/02/2024;2.358621;P
01/03/2024;3.587097;P
01/04/2024;2.053333;P
01/05/2024;2.303226;P
01/06/2024;1.326667;P
01/07/2024;0.109677;P
01/08/2024;1.277419;P
01/09/2024;4.553333;P
01/10/2024;5.264516;P
01/11/2024;1.033333;P
01/12/2024;2.290323;P
01/01/2026;3.651613;P
01/02/2026;2.771429;P
01/03/2026;1.419355;P
01/04/2026;0.52;P
01/05/2026;6.925;P
