"Stazione";"Casaglia"
"Codice";"TOS30248400"
"Comune";"Borgo San Lorenzo"
"Provincia";"FI"
"GB [m]";"E";1701758;"N";4879080
"WGS84 [°]";"Lat";44.037;"Lon";11.518
"Quota [m]";748,31

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.129032;P
01/08/2022;2.929032;P
01/09/2022;4.733333;P
01/10/2022;0.754839;P
01/11/2022;4.933333;P
01/12/2022;8.154839;P
01/01/2023;6.245161;P
01/02/2023;2.285714;P
01/03/2023;3.335484;P
01/04/2023;1.513333;P
01/05/2023;10.490323;P
01/06/2023;3.026667;P
01/07/2023;0.870968;P
01/08/2023;0.632258;P
01/09/2023;0.813333;P
01/10/2023;5.548387;P
01/11/2023;9.173333;P
01/12/2023;5.445161;P
01/01/2024;3.632258;P
01/02/2024;4.593103;P
01/03/2024;5.43871;P
01/04/2024;2.96;P
01/05/2024;3.735484;P
01/06/2024;5.393333;P
01/07/2024;1.0;P
01/08/2024;0.483871;P
01/09/2024;8.653333;P
01/10/2024;8.767742;P
01/11/2024;4.146667;P
01/12/2024;3.851613;P
01/01/2026;6.580645;P
01/02/2026;5.228571;P
01/03/2026;3.574194;P
01/04/2026;1.34;P
01/05/2026;8.005;P
