"Stazione";"Marradi"
"Codice";"TOS30250000"
"Comune";"Marradi"
"Provincia";"FI"
"GB [m]";"E";1708967;"N";4883450
"WGS84 [°]";"Lat";44.074;"Lon";11.609
"Quota [m]";323,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.090323;P
01/08/2022;1.496774;P
01/09/2022;3.993333;P
01/10/2022;0.645161;P
01/11/2022;4.426667;P
01/12/2022;6.2;P
01/01/2023;5.580645;P
01/02/2023;1.65;P
01/03/2023;2.625806;P
01/04/2023;1.08;P
01/05/2023;16.17;P
01/06/2023;1.710345;P
01/07/2023;0.690323;P
01/08/2023;0.43871;P
01/09/2023;0.553333;P
01/10/2023;3.56129;P
01/11/2023;6.846667;P
01/12/2023;3.6;P
01/01/2024;2.651613;P
01/02/2024;2.875862;P
01/03/2024;4.045161;P
01/04/2024;2.293333;P
01/05/2024;1.83871;P
01/06/2024;6.106667;P
01/07/2024;1.296774;P
01/08/2024;1.587097;P
01/09/2024;9.206667;P
01/10/2024;7.419355;P
01/11/2024;3.466667;P
01/12/2024;3.825806;P
01/01/2026;4.432258;P
01/02/2026;3.046429;P
01/03/2026;3.3;P
01/04/2026;0.813333;P
01/05/2026;5.31;P
