"Stazione";"Barco"
"Codice";"TOS30287500"
"Comune";"Firenzuola"
"Provincia";"FI"
"GB [m]";"E";1691634;"N";4880687
"WGS84 [°]";"Lat";44.054;"Lon";11.392
"Quota [m]";780,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.090323;P
01/08/2022;2.529032;P
01/09/2022;5.233333;P
01/10/2022;0.819355;P
01/11/2022;4.666667;P
01/12/2022;9.83871;P
01/01/2023;6.187097;P
01/02/2023;1.6;P
01/03/2023;5.219355;P
01/04/2023;2.013333;P
01/05/2023;8.987097;P
01/06/2023;2.686667;P
01/07/2023;1.593548;P
01/08/2023;1.129032;P
01/09/2023;0.606667;P
01/10/2023;7.787097;P
01/11/2023;13.073333;P
01/12/2023;7.025806;P
01/01/2024;4.696774;P
01/02/2024;6.158621;P
01/03/2024;6.264516;P
01/04/2024;3.046667;P
01/05/2024;4.406452;P
01/06/2024;6.58;P
01/07/2024;0.096774;P
01/08/2024;0.0;P
01/09/2024;4.46;P
01/10/2024;9.709677;P
01/11/2024;4.08;P
01/12/2024;4.322581;P
01/01/2026;7.445161;P
01/02/2026;6.496429;P
01/03/2026;3.222581;P
01/04/2026;0.906667;P
01/05/2026;9.16;P
