"Stazione";"Monte Faggiola"
"Codice";"TOS30287700"
"Comune";"Firenzuola"
"Provincia";"FI"
"GB [m]";"E";1699421;"N";4890052
"WGS84 [°]";"Lat";44.136;"Lon";11.493
"Quota [m]";881,24

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.412903;P
01/08/2022;2.625806;P
01/09/2022;4.393333;P
01/10/2022;0.877419;P
01/11/2022;4.253333;P
01/12/2022;5.309677;P
01/01/2023;2.76129;P
01/02/2023;0.421429;P
01/03/2023;3.412903;P
01/04/2023;1.126667;P
01/05/2023;15.580645;P
01/06/2023;3.4;P
01/07/2023;0.832258;P
01/08/2023;1.180645;P
01/09/2023;0.653333;P
01/10/2023;3.748387;P
01/11/2023;5.926667;P
01/12/2023;2.212903;P
01/01/2024;3.735484;P
01/02/2024;3.572414;P
01/03/2024;3.696774;P
01/04/2024;2.086667;P
01/05/2024;2.922581;P
01/06/2024;5.373333;P
01/07/2024;0.632258;P
01/08/2024;1.56129;P
01/09/2024;10.34;P
01/10/2024;8.077419;P
01/11/2024;0.966667;P
01/12/2024;5.264516;P
01/01/2026;2.212903;P
01/02/2026;3.110714;P
01/03/2026;1.419355;P
01/04/2026;1.26;P
01/05/2026;4.325;P
