"Stazione";"Piancaldoli"
"Codice";"TOS30290200"
"Comune";"Firenzuola"
"Provincia";"FI"
"GB [m]";"E";1694371;"N";4898659
"WGS84 [°]";"Lat";44.215;"Lon";11.433
"Quota [m]";496,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.277419;P
01/08/2022;3.303226;P
01/09/2022;5.033333;P
01/10/2022;0.632258;P
01/11/2022;5.146667;P
01/12/2022;5.245161;P
01/01/2023;4.806452;P
01/02/2023;1.178571;P
01/03/2023;3.251613;P
01/04/2023;0.693333;P
01/05/2023;16.116129;P
01/06/2023;4.086667;P
01/07/2023;0.858065;P
01/08/2023;0.8;P
01/09/2023;1.306667;P
01/10/2023;4.63871;P
01/11/2023;4.366667;P
01/12/2023;2.445161;P
01/01/2024;3.580645;P
01/02/2024;4.310345;P
01/03/2024;4.180645;P
01/04/2024;2.206667;P
01/05/2024;2.683871;P
01/06/2024;5.246667;P
01/07/2024;1.4;P
01/08/2024;1.096774;P
01/09/2024;12.893333;P
01/10/2024;10.180645;P
01/11/2024;1.366667;P
01/12/2024;4.96129;P
01/01/2026;4.03871;P
01/02/2026;3.307143;P
01/03/2026;2.619355;P
01/04/2026;1.703333;P
01/05/2026;3.695;P
