"Stazione";"Firenzuola"
"Codice";"TOS30290300"
"Comune";"Firenze"
"Provincia";"FI"
"GB [m]";"E";1690102;"N";4887942
"WGS84 [°]";"Lat";44.120;"Lon";11.375
"Quota [m]";430,20

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/07/2022;0.341935;P
01/08/2022;2.303226;P
01/09/2022;5.606667;P
01/10/2022;0.806452;P
01/11/2022;4.8;P
01/12/2022;7.883871;P
01/01/2023;5.129032;P
01/02/2023;1.7;P
01/03/2023;3.051613;P
01/04/2023;0.933333;P
01/05/2023;8.109677;P
01/06/2023;3.64;P
01/07/2023;1.380645;P
01/08/2023;0.483871;P
01/09/2023;0.726667;P
01/10/2023;6.632258;P
01/11/2023;5.88;P
01/12/2023;3.509677;P
01/01/2024;0.703226;P
01/02/2024;5.986207;P
01/03/2024;4.470968;P
01/04/2024;2.686667;P
01/05/2024;2.432258;P
01/06/2024;4.853333;P
01/07/2024;0.148387;P
01/08/2024;1.303226;P
01/09/2024;8.593333;P
01/10/2024;8.632258;P
01/11/2024;2.473333;P
01/12/2024;3.767742;P
01/01/2026;4.916129;P
01/02/2026;4.867857;P
01/03/2026;2.690323;P
01/04/2026;0.69;P
01/05/2026;6.52;P
