"Stazione";"Monte di Fò"
"Codice";"TOS01000916"
"Comune";"Barberino di Mugello"
"Provincia";"FI"
"GB [m]";"E";1682652;"N";4883263
"WGS84 [°]";"Lat";44.080;"Lon";11.281
"Quota [m]";820,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2026;4.416129;0.53871
01/02/2026;8.146429;3.717857
01/03/2026;10.274194;4.016129
01/04/2026;16.2;8.12
01/05/2026;18.451613;11.209677
01/06/2026;21.727273;13.072727
