"Stazione";"Le Croci (Barberino)"
"Codice";"TOS01000926"
"Comune";"Barberino di Mugello"
"Provincia";"FI"
"GB [m]";"E";1682106;"N";4875177
"WGS84 [°]";"Lat";44.007;"Lon";11.271
"Quota [m]";388,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2026;8.603226;2.66129
01/02/2026;11.660714;5.660714
01/03/2026;14.590323;6.477419
01/04/2026;19.98;9.53
01/05/2026;21.877419;12.158065
01/06/2026;25.054545;14.781818
