"Stazione";"Consuma"
"Codice";"TOS01001041"
"Comune";"Rufina"
"Provincia";"FI"
"GB [m]";"E";1708048;"N";4851199
"WGS84 [°]";"Lat";43.784;"Lon";11.585
"Quota [m]";955,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2026;4.219355;0.232258
01/02/2026;7.042857;2.682143
01/03/2026;9.125806;2.606452
01/04/2026;15.31;6.963333
01/05/2026;17.577419;9.43871
01/06/2026;20.709091;11.718182
