"Stazione";"S. Giusto"
"Codice";"TOS01001215"
"Comune";"Scandicci"
"Provincia";"FI"
"GB [m]";"E";1676623;"N";4847566
"WGS84 [°]";"Lat";43.760;"Lon";11.194
"Quota [m]";42,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2026;10.848387;2.948387
01/02/2026;14.753571;6.064286
01/03/2026;17.290323;5.735484
01/04/2026;22.73;8.896667
01/05/2026;25.041935;12.248387
01/06/2026;28.281818;16.127273
