"Stazione";"Stabbia"
"Codice";"TOS10001650"
"Comune";"Cerreto Guidi"
"Provincia";"FI"
"GB [m]";"E";1647037;"N";4849947
"WGS84 [°]";"Lat";43.788;"Lon";10.827
"Quota [m]";16,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2026;11.525806;2.0
01/02/2026;14.517857;4.789286
01/03/2026;17.725806;4.858065
01/04/2026;23.3;7.56
01/05/2026;25.625806;11.7
01/06/2026;28.818182;14.754545
