"Stazione";"Sambuca"
"Codice";"TOS11000057"
"Comune";"San Casciano in Val di Pesa"
"Provincia";"FI"
"GB [m]";"E";1680375;"N";4829328
"WGS84 [°]";"Lat";43.595;"Lon";11.234
"Quota [m]";325,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2026;10.23871;3.551613
01/02/2026;13.45;6.514286
01/03/2026;15.451613;6.535484
01/04/2026;21.516667;9.773333
01/05/2026;23.809677;12.73871
01/06/2026;27.754545;15.772727
