"Stazione";"Pelago"
"Codice";"TOS11000089"
"Comune";"Pelago"
"Provincia";"FI"
"GB [m]";"E";1701473;"N";4848170
"WGS84 [°]";"Lat";43.759;"Lon";11.502
"Quota [m]";325,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2026;9.667742;2.819355
01/02/2026;13.025;5.871429
01/03/2026;15.819355;5.806452
01/04/2026;21.783333;8.74
01/05/2026;24.248387;11.854839
01/06/2026;28.545455;15.081818
