"Stazione";"Monteboro"
"Codice";"TOS11000504"
"Comune";"Empoli"
"Provincia";"FI"
"GB [m]";"E";1655000;"N";4839544
"WGS84 [°]";"Lat";43.693;"Lon";10.923
"Quota [m]";90,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore contrassegnato con N corrisponde al dato non validato
;;;Il valore contrassegnato con R corrisponde al dato ricostruito
;;;Il valore contrassegnato con I corrisponde al dato incerto
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
01/01/2026;10.658065;3.896774
01/02/2026;14.310714;6.364286
01/03/2026;16.93871;6.787097
01/04/2026;22.683333;9.003333
01/05/2026;25.448387;12.183871
01/06/2026;29.236364;15.372727
