variable,mean_center_x,mean_center_y,median_center_x,median_center_y,sde_semi_major_axis,sde_semi_minor_axis,sde_rotation_deg
UNWEIGHTED_GEOMETRY,684196.530826262,4854153.829900273,685991.0777555236,4851206.608799485,24212.47532636471,13180.260552564201,35.75279914898832
total_intervention_cost_1ring,687017.2935481782,4871338.211650779,,,16403.54831304113,1801.9104689547144,32.64870433144795
active_fountains_count_1ring,679848.1191811757,4849743.723343458,,,3369.189887617539,1547.6567129948464,-80.64906594658365
total_fountains_count_1ring,681254.8735597741,4849248.353162489,,,3262.793183391718,1548.6239715255458,-75.07209986838602
landslide_point_count_1ring,683328.8463536929,4851952.810337932,,,22774.920448437006,13438.281088122805,33.24837977225413
tipo_movimento_<lambda_0>_1ring,681861.2355127194,4848948.954977505,,,21102.955392636643,12828.568858197754,37.7252321713931
max_peak_elevation_1ring,694849.0683323476,4870016.2558550015,,,17498.98804332526,12961.551604182714,13.679697520903412
is_locality_1ring,688784.0237531408,4857639.554653938,,,21961.055563361177,12961.588598181148,33.08491753421104
seismic_event_count_1ring,683858.2940232948,4856721.1476591155,,,23186.77123628876,8124.875341715476,19.686159475958984
max_seismic_magnitude_1ring,684325.5484007167,4857145.233104094,,,24313.806434107646,8822.764813391466,20.299543021265034
avg_seismic_magnitude_1ring,684328.8721472064,4857150.974869135,,,24339.170270216455,8835.263741695839,20.305028762451222
road_density_m_per_m2,682336.202278716,4851416.400974115,,,20638.782888725902,12483.02922098971,38.56767056808578
m_per_hex,682336.1897342191,4851416.252805344,,,20638.89165425844,12482.957172677485,38.567782574264406
dist_to_waterway_m,681534.2651772312,4852206.546489755,,,23207.92914439545,12950.666343848752,37.26932545341971
rooting_depth_class,686858.0681543519,4855643.9154789075,,,24165.643715984348,12723.317249117996,32.221582656438535
surface_stoniness_class,688259.4168342843,4858237.111548424,,,24480.348735692685,12444.987143185099,32.316184184718196
landslide_surface_class,684949.6773152804,4855094.160023866,,,24066.03328909725,13014.63932715702,31.7478768647831
avg_descending_soil_speed,,,,,,,
avg_ascending_soil_speed,,,,,,,
hydraulic_hazard_level,675495.4067028055,4851815.157435118,,,22395.034315427187,12612.32432849499,44.2191407593272
epr_NTAXP,680032.7341228161,4849339.313350407,,,14392.599835952262,10126.889639232008,42.17549326284745
epr_TAXABINC,680038.2949972152,4849362.501118144,,,14428.213870148462,10145.710161242718,42.12632133687391
epr_CADINCR,680194.6193076862,4848906.098564448,,,11564.292439062168,8483.28372284256,41.90789014762055
epr_CADINCF,680226.9872464442,4849329.899394263,,,14273.769488214155,10056.29066446397,40.90527041893357
epr_SUBEMPTR,679904.9866139174,4849387.33256704,,,14324.827702195336,10162.44183508567,43.18845456234853
epr_PENSINCR,680504.3991797869,4849441.789778364,,,13618.610465961363,9577.928012685685,40.40743458614039
epr_PENSINCF,680258.574266209,4849388.43328192,,,14718.723012152266,10157.490510826208,40.82368370245024
epr_ENTROAIN,678480.5310611794,4847940.632652361,,,16075.475528646755,11803.448614091212,48.84523448428511
epr_ENTROAIN01,679785.0372728703,4847598.056968996,,,14063.207673544068,11061.770192003756,51.03701788909964
erd_E0_10000,679584.6404835086,4849197.737943617,,,14799.806710509272,10226.15856792399,44.085930385997464
