,count,missing_count,missing_pct,mean,std,variance,min,5%,25%,50%,75%,95%,max,skewness
total_intervention_cost_1ring,225503.0,0,0.0,57.73079573220755,5988.556725171672,35862811.65059886,0.0,0.0,0.0,0.0,0.0,0.0,829956.62,123.11457435305257
active_fountains_count_1ring,225503.0,0,0.0,0.0007760428907819408,0.02784679670885501,0.0007754440869442982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.85535456850376
total_fountains_count_1ring,225503.0,0,0.0,0.007636262045294297,0.11895371767223091,0.01414998694804482,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.199173059241257
landslide_point_count_1ring,225503.0,0,0.0,0.5498241708536028,0.909355895613644,0.8269281448872927,0.0,0.0,0.0,0.0,1.0,2.0,11.0,2.1637668270014996
tipo_movimento_<lambda_0>_1ring,225503.0,0,0.0,2.0338753808153327,3.8295495355888045,14.66544964552843,0.0,0.0,0.0,0.0,2.0,11.0,11.0,1.7941895329437432
max_peak_elevation_1ring,225503.0,0,0.0,13.648713764340165,105.80244285928167,11194.156914991563,0.0,0.0,0.0,0.0,0.0,0.0,1657.0,8.396370663939694
is_locality_1ring,225503.0,0,0.0,0.12129772109461959,0.3264736690861735,0.1065850566065883,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.319976607786107
seismic_event_count_1ring,225503.0,0,0.0,0.002110836662926879,0.07595609955933441,0.005769329060267522,0.0,0.0,0.0,0.0,0.0,0.0,11.0,100.36425220101633
max_seismic_magnitude_1ring,225503.0,0,0.0,0.00787714575859301,0.1916670731872804,0.0367362669441783,0.0,0.0,0.0,0.0,0.0,0.0,6.38,24.619316788595544
avg_seismic_magnitude_1ring,225503.0,0,0.0,0.007854258701658071,0.19109248730854397,0.03651633870576604,0.0,0.0,0.0,0.0,0.0,0.0,6.38,24.615034284786347
road_density_m_per_m2,225503.0,0,0.0,0.006221276435346757,0.009371090004003105,8.781732786312692e-05,0.0,0.0,0.0,0.0021,0.0093,0.0217,0.1522,3.2263310575151185
m_per_hex,225503.0,0,0.0,97.10515770388862,146.2680948214876,21394.355562707693,0.0,0.0,0.0,32.605,145.6911,338.16212999999993,2375.8,3.2263371645800785
dist_to_waterway_m,225503.0,0,0.0,137.37762968696651,133.6173674386313,17853.60088123021,0.0007,8.78172,46.4494,102.5363,185.6726,378.79202,1451.6359,2.4815711221972734
rooting_depth_class,225503.0,0,0.0,2.0820609925366846,1.231622202034265,1.5168932485437319,0.0,1.0,1.0,2.0,3.0,4.0,7.0,0.5170345215146493
surface_stoniness_class,225503.0,0,0.0,1.8191864409786123,1.0429561696201046,1.0877575717486405,0.0,1.0,1.0,2.0,3.0,4.0,4.0,0.5279491773251553
landslide_surface_class,225503.0,0,0.0,2.379720003725006,1.1045258548039558,1.2199773639304095,0.0,0.0,2.0,3.0,3.0,4.0,4.0,-0.34141243821964706
avg_descending_soil_speed,225503.0,0,0.0,-0.02499250963401817,0.6055325578022178,0.36666967855849625,-48.1,0.0,0.0,0.0,0.0,0.0,69.6,4.963335200845507
avg_ascending_soil_speed,225503.0,0,0.0,-0.019041849110654843,0.49833873242539495,0.24834149223534938,-28.6,0.0,0.0,0.0,0.0,0.0,22.2,-11.926521951925615
hydraulic_hazard_level,225503.0,0,0.0,0.3904426992102101,0.8956496922915645,0.8021883713019743,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.1737588218571746
epr_NTAXP,225503.0,0,0.0,18093.17545664581,46098.04494183122,2125029747.4590912,871.0,912.0,3697.0,9833.0,13567.0,37176.0,280190.0,5.340292898378093
epr_TAXABINC,225503.0,0,0.0,17491.739892595662,44316.07000254745,1963914060.4706857,840.0,890.0,3549.0,9486.0,13281.0,36266.0,269362.0,5.334277197759309
epr_CADINCR,225503.0,0,0.0,17449909.83275167,59615725.41882597,3554034717212852.5,486812.0,506247.0,2338743.0,6320525.0,9564980.0,28549670.0,359604234.0,5.4950274874542
epr_CADINCF,225503.0,0,0.0,8302.695702496198,21141.62981027272,446968511.03461206,379.0,435.0,1765.0,4436.0,6299.0,18339.0,128451.0,5.333278442491929
epr_SUBEMPTR,225503.0,0,0.0,9662.049005999921,24580.89157320643,604220230.533731,408.0,422.0,1939.0,5152.0,7591.0,20224.0,149285.0,5.325027377131216
epr_PENSINCR,225503.0,0,0.0,126096894.27933109,353169764.3650751,1.2472888246168269e+17,5175307.0,6702818.0,23801674.0,55762294.0,86381776.0,269756584.0,2141284511.0,5.398874641364666
epr_PENSINCF,225503.0,0,0.0,6407.979392735351,15845.185335592214,251069898.31926656,345.0,434.0,1510.0,3265.0,4815.0,13871.0,96354.0,5.314997201855658
epr_ENTROAIN,225503.0,0,0.0,44.43623809882796,83.55421284927935,6981.306484862679,0.0,0.0,14.0,31.0,42.0,116.0,504.0,4.853662317061488
epr_ENTROAIN01,225503.0,0,0.0,2303329.343188339,4858710.432658695,23607067068426.44,0.0,0.0,533007.0,1101177.0,2007648.0,4925124.0,29142400.0,4.899265005392839
erd_E0_10000,225503.0,0,0.0,4187.198733498002,10719.869374694343,114915599.41050968,233.0,255.0,950.0,2232.0,3047.0,8474.0,65165.0,5.348488167114372
erd_E10000_1,225503.0,0,0.0,2256.6225770832316,5283.240032593657,27912625.24200023,135.0,138.0,561.0,1236.0,1757.0,4875.0,32173.0,5.275305396055955
erd_E15000_2,225503.0,0,0.0,5805.9916231713105,12997.752360765287,168941566.43177962,301.0,341.0,1368.0,3357.0,4956.0,12765.0,79127.0,5.215539537681069
erd_E26000_5,225503.0,0,0.0,4401.429989844924,12236.360790259856,149728525.3894088,149.0,163.0,677.0,2134.0,3104.0,9528.0,74144.0,5.380811259365865
erd_E55000_7,225503.0,0,0.0,526.34976031361,1786.174644525259,3190419.8607449355,10.0,17.0,56.0,171.0,312.0,866.0,10776.0,5.492183206566753
erd_E75000_1,225503.0,0,0.0,398.3014194933105,1434.6222321570199,2058140.9489991905,6.0,10.0,44.0,123.0,210.0,588.0,8643.0,5.517671148319615
