,count,missing_count,missing_pct,unique_categories,most_frequent_value,most_frequent_count,most_frequent_pct
index,225503,0,0.0,225503,8a1ea208eacffff,1,0.0004434530804468233
class_intervention_1ring,63,225440,99.97206245593185,3,Misto,35,55.55555555555556
locality_name_1ring,27174,198329,87.94960599193801,3560,Il Poggio,105,0.38639876352395675
dominant_highway,120975,104528,46.353263592945545,29,track,47358,39.14693118412895
dominant_surface,59880,165623,73.44602954284422,35,asphalt,28685,47.90414161656646
dominant_tunnel,1722,223781,99.23637379547057,7,yes,1419,82.40418118466899
dominant_bridge,4052,221451,98.20312811802947,9,yes,3717,91.73247778874631
usda_hydrologic_group,225491,12,0.0053214369653618795,5,C,95438,42.324527364728525
pai_landslide_hazard_level,183178,42325,18.7691516299118,5,Moderata P1,76406,41.71134088154691
dominant_building_1,51441,174062,77.18833008873496,76,yes,43982,85.49989308139422
dominant_building_2,8329,217174,96.30647929295841,85,yes,2727,32.741025333173255
dominant_building_3,2323,223180,98.96985849412204,76,yes,428,18.42445114076625
