source,target,source_stage,target_stage,value
(A) ash,(C) due to,occurrence_variable,causal_ocurrence_words,28
(A) ash,(C) may,occurrence_variable,causal_ocurrence_words,38
(A) bed,(C) based on,occurrence_variable,causal_ocurrence_words,21
(A) bed,(C) because,occurrence_variable,causal_ocurrence_words,23
(A) bed,(C) becomes,occurrence_variable,causal_ocurrence_words,20
(A) bed,(C) due to,occurrence_variable,causal_ocurrence_words,36
(A) bed,(C) increase,occurrence_variable,causal_ocurrence_words,29
(A) bed,(C) may,occurrence_variable,causal_ocurrence_words,91
(A) bed,(C) remove,occurrence_variable,causal_ocurrence_words,32
(A) bed,(C) shape,occurrence_variable,causal_ocurrence_words,20
(A) bed,(C) thereby,occurrence_variable,causal_ocurrence_words,32
(A) bed,(C) therefore,occurrence_variable,causal_ocurrence_words,60
(A) bed,(C) thus,occurrence_variable,causal_ocurrence_words,26
(A) bed,(C) while,occurrence_variable,causal_ocurrence_words,72
(A) clay,(C) due to,occurrence_variable,causal_ocurrence_words,23
(A) clay,(C) may,occurrence_variable,causal_ocurrence_words,32
(A) flood,(C) based on,occurrence_variable,causal_ocurrence_words,22
(A) flood,(C) due to,occurrence_variable,causal_ocurrence_words,24
(A) flooding,(C) caused by,occurrence_variable,causal_ocurrence_words,38
(A) flooding,(C) due to,occurrence_variable,causal_ocurrence_words,90
(A) flooding,(C) increase,occurrence_variable,causal_ocurrence_words,22
(A) flooding,(C) may,occurrence_variable,causal_ocurrence_words,26
(A) flooding,(C) to prevent,occurrence_variable,causal_ocurrence_words,51
(A) ground subsidence,(C) due to,occurrence_variable,causal_ocurrence_words,24
(A) hand,(C) as a result of,occurrence_variable,causal_ocurrence_words,26
(A) hand,(C) based on,occurrence_variable,causal_ocurrence_words,31
(A) hand,(C) because,occurrence_variable,causal_ocurrence_words,96
(A) hand,(C) becomes,occurrence_variable,causal_ocurrence_words,65
(A) hand,(C) causes,occurrence_variable,causal_ocurrence_words,27
(A) hand,(C) configured to,occurrence_variable,causal_ocurrence_words,45
(A) hand,(C) corresponding to,occurrence_variable,causal_ocurrence_words,32
(A) hand,(C) determines,occurrence_variable,causal_ocurrence_words,35
(A) hand,(C) discharged to,occurrence_variable,causal_ocurrence_words,28
(A) hand,(C) due to,occurrence_variable,causal_ocurrence_words,177
(A) hand,(C) effect of,occurrence_variable,causal_ocurrence_words,31
(A) hand,(C) important,occurrence_variable,causal_ocurrence_words,21
(A) hand,(C) increase,occurrence_variable,causal_ocurrence_words,80
(A) hand,(C) increases,occurrence_variable,causal_ocurrence_words,67
(A) hand,(C) introduced into,occurrence_variable,causal_ocurrence_words,45
(A) hand,(C) may,occurrence_variable,causal_ocurrence_words,253
(A) hand,(C) monitoring,occurrence_variable,causal_ocurrence_words,40
(A) hand,(C) remove,occurrence_variable,causal_ocurrence_words,56
(A) hand,(C) requires,occurrence_variable,causal_ocurrence_words,28
(A) hand,(C) shape,occurrence_variable,causal_ocurrence_words,81
(A) hand,(C) thereby,occurrence_variable,causal_ocurrence_words,25
(A) hand,(C) therefore,occurrence_variable,causal_ocurrence_words,38
(A) hand,(C) thus,occurrence_variable,causal_ocurrence_words,41
(A) hand,(C) to prevent,occurrence_variable,causal_ocurrence_words,57
(A) hand,(C) used to,occurrence_variable,causal_ocurrence_words,22
(A) hand,(C) via,occurrence_variable,causal_ocurrence_words,58
(A) hand,(C) while,occurrence_variable,causal_ocurrence_words,113
(A) heavy rain,(C) due to,occurrence_variable,causal_ocurrence_words,63
(A) heavy rains,(C) due to,occurrence_variable,causal_ocurrence_words,20
(A) hydraulic pressure,(C) may,occurrence_variable,causal_ocurrence_words,27
(A) lid,(C) configured to,occurrence_variable,causal_ocurrence_words,27
(A) lid,(C) may,occurrence_variable,causal_ocurrence_words,68
(A) lid,(C) shape,occurrence_variable,causal_ocurrence_words,44
(A) lid,(C) thereby,occurrence_variable,causal_ocurrence_words,24
(A) lid,(C) therefore,occurrence_variable,causal_ocurrence_words,20
(A) lid,(C) to prevent,occurrence_variable,causal_ocurrence_words,33
(A) lid,(C) while,occurrence_variable,causal_ocurrence_words,25
(A) nature,(C) because,occurrence_variable,causal_ocurrence_words,23
(A) nature,(C) due to,occurrence_variable,causal_ocurrence_words,72
(A) nature,(C) may,occurrence_variable,causal_ocurrence_words,35
(A) precipitation,(C) based on,occurrence_variable,causal_ocurrence_words,42
(A) precipitation,(C) because,occurrence_variable,causal_ocurrence_words,40
(A) precipitation,(C) becomes,occurrence_variable,causal_ocurrence_words,24
(A) precipitation,(C) due to,occurrence_variable,causal_ocurrence_words,77
(A) precipitation,(C) effect of,occurrence_variable,causal_ocurrence_words,20
(A) precipitation,(C) increase,occurrence_variable,causal_ocurrence_words,35
(A) precipitation,(C) influence,occurrence_variable,causal_ocurrence_words,33
(A) precipitation,(C) introduced into,occurrence_variable,causal_ocurrence_words,20
(A) precipitation,(C) may,occurrence_variable,causal_ocurrence_words,127
(A) precipitation,(C) occurrence,occurrence_variable,causal_ocurrence_words,32
(A) precipitation,(C) precipitates,occurrence_variable,causal_ocurrence_words,24
(A) precipitation,(C) remove,occurrence_variable,causal_ocurrence_words,52
(A) precipitation,(C) thereby,occurrence_variable,causal_ocurrence_words,20
(A) precipitation,(C) therefore,occurrence_variable,causal_ocurrence_words,54
(A) precipitation,(C) thus,occurrence_variable,causal_ocurrence_words,25
(A) precipitation,(C) to prevent,occurrence_variable,causal_ocurrence_words,31
(A) precipitation,(C) while,occurrence_variable,causal_ocurrence_words,49
(A) rain,(C) because,occurrence_variable,causal_ocurrence_words,24
(A) rain,(C) discharged to,occurrence_variable,causal_ocurrence_words,25
(A) rain,(C) due to,occurrence_variable,causal_ocurrence_words,83
(A) rain,(C) increase,occurrence_variable,causal_ocurrence_words,21
(A) rain,(C) introduced into,occurrence_variable,causal_ocurrence_words,25
(A) rain,(C) may,occurrence_variable,causal_ocurrence_words,48
(A) rain,(C) shape,occurrence_variable,causal_ocurrence_words,25
(A) rain,(C) therefore,occurrence_variable,causal_ocurrence_words,52
(A) rain,(C) to prevent,occurrence_variable,causal_ocurrence_words,52
(A) rain,(C) while,occurrence_variable,causal_ocurrence_words,31
(A) rainfall,(C) based on,occurrence_variable,causal_ocurrence_words,81
(A) rainfall,(C) because,occurrence_variable,causal_ocurrence_words,31
(A) rainfall,(C) caused by,occurrence_variable,causal_ocurrence_words,25
(A) rainfall,(C) discharged to,occurrence_variable,causal_ocurrence_words,26
(A) rainfall,(C) due to,occurrence_variable,causal_ocurrence_words,149
(A) rainfall,(C) increase,occurrence_variable,causal_ocurrence_words,46
(A) rainfall,(C) increases,occurrence_variable,causal_ocurrence_words,38
(A) rainfall,(C) introduced into,occurrence_variable,causal_ocurrence_words,23
(A) rainfall,(C) may,occurrence_variable,causal_ocurrence_words,95
(A) rainfall,(C) therefore,occurrence_variable,causal_ocurrence_words,59
(A) rainfall,(C) to prevent,occurrence_variable,causal_ocurrence_words,31
(A) rainfall,(C) while,occurrence_variable,causal_ocurrence_words,25
(A) rainwater,(C) accumulate,occurrence_variable,causal_ocurrence_words,21
(A) rainwater,(C) as a result,occurrence_variable,causal_ocurrence_words,26
(A) rainwater,(C) based on,occurrence_variable,causal_ocurrence_words,64
(A) rainwater,(C) because,occurrence_variable,causal_ocurrence_words,79
(A) rainwater,(C) becomes,occurrence_variable,causal_ocurrence_words,36
(A) rainwater,(C) caused by,occurrence_variable,causal_ocurrence_words,37
(A) rainwater,(C) causes,occurrence_variable,causal_ocurrence_words,20
(A) rainwater,(C) configured to,occurrence_variable,causal_ocurrence_words,56
(A) rainwater,(C) determines,occurrence_variable,causal_ocurrence_words,25
(A) rainwater,(C) discharged to,occurrence_variable,causal_ocurrence_words,110
(A) rainwater,(C) due to,occurrence_variable,causal_ocurrence_words,231
(A) rainwater,(C) effect of,occurrence_variable,causal_ocurrence_words,21
(A) rainwater,(C) exceeding,occurrence_variable,causal_ocurrence_words,20
(A) rainwater,(C) factor,occurrence_variable,causal_ocurrence_words,22
(A) rainwater,(C) increase,occurrence_variable,causal_ocurrence_words,72
(A) rainwater,(C) increases,occurrence_variable,causal_ocurrence_words,58
(A) rainwater,(C) introduced into,occurrence_variable,causal_ocurrence_words,99
(A) rainwater,(C) may,occurrence_variable,causal_ocurrence_words,165
(A) rainwater,(C) prevented from,occurrence_variable,causal_ocurrence_words,21
(A) rainwater,(C) remove,occurrence_variable,causal_ocurrence_words,56
(A) rainwater,(C) shape,occurrence_variable,causal_ocurrence_words,58
(A) rainwater,(C) thereby,occurrence_variable,causal_ocurrence_words,62
(A) rainwater,(C) therefore,occurrence_variable,causal_ocurrence_words,184
(A) rainwater,(C) thus,occurrence_variable,causal_ocurrence_words,64
(A) rainwater,(C) to prevent,occurrence_variable,causal_ocurrence_words,141
(A) rainwater,(C) used to,occurrence_variable,causal_ocurrence_words,20
(A) rainwater,(C) via,occurrence_variable,causal_ocurrence_words,41
(A) rainwater,(C) while,occurrence_variable,causal_ocurrence_words,109
(A) rivers,(C) because,occurrence_variable,causal_ocurrence_words,25
(A) rivers,(C) caused by,occurrence_variable,causal_ocurrence_words,30
(A) rivers,(C) causes,occurrence_variable,causal_ocurrence_words,44
(A) rivers,(C) discharged to,occurrence_variable,causal_ocurrence_words,42
(A) rivers,(C) due to,occurrence_variable,causal_ocurrence_words,108
(A) rivers,(C) increase,occurrence_variable,causal_ocurrence_words,38
