term_1,term_2,co_occurrences,freq_term_1,freq_term_2,npmi
vegetation intrusion,leakage risk index,5,29,7,0.8153
ace,ncc,2,21,2,0.8082
terrain motion,leakage risk index,5,36,7,0.7962
stress corrosion cracking,scc,9,70,15,0.7617
compressive stress,bending stress,6,11,87,0.706
ace,ipc,2,21,9,0.6854
structural failure,over pressurization,2,26,11,0.6516
terrain motion,sub surface leaks,2,36,10,0.6329
structural failure,earth movement,2,26,15,0.6263
load capacity,buckling,6,27,88,0.6245
stress corrosion cracking,sensitization,2,70,6,0.6203
stress corrosion cracking,corrosion fatigue,2,70,6,0.6203
earthquakes,soil liquefaction,2,142,3,0.6191
excess storm water,overwhelmed,2,23,27,0.5884
thermal expansion,contact with the pipeline,12,233,46,0.5881
freezing environmental conditions,difficult to access,2,16,44,0.5781
ftp,ssl,2,31,23,0.5771
freezing environmental conditions,inaccessible,2,16,50,0.5677
washout,scour,5,39,104,0.5512
scale formation,galvanic corrosion,5,161,35,0.5222
soc,sci,2,30,48,0.5198
thermal expansion,residual stress,2,233,7,0.5096
ground subsidence,external impact,30,370,263,0.5095
eps,smp,4,103,48,0.5042
erosion,external damage,4,561,9,0.5024
mountain springs,obstacles,2,4,463,0.4992
storm drain,sediment laden water,2,480,4,0.4963
clay,nas,3,1188,3,0.4953
sws,cracking,2,4,518,0.4901
landslides,creep,3,58,67,0.488
erosion,soil settlement,2,561,4,0.4836
drought,lwl,9,597,36,0.4809
large lakes,obstacles,3,12,463,0.4578
soil degradation,degradation,2,2,1567,0.4563
erosion,cavitation erosion,2,561,6,0.4505
groundwater table,water loss,2,27,141,0.4404
stress corrosion cracking,pitting,2,70,61,0.4311
hydraulic pressure,ftd,6,1512,14,0.4285
nature,bacterial corrosion,2,2204,2,0.4285
erosion,cac,2,561,8,0.427
scaling factor,scaling,4,16,769,0.4253
clay,adhesion failure,2,1188,4,0.4223
ash,impingement attack,2,1222,4,0.42
erosion,erosion corrosion,3,561,17,0.4122
bulk density,porosity,6,30,848,0.412
stress corrosion cracking,corrosion,56,70,8699,0.4096
subsidence,cracking,17,253,518,0.3953
storm water,hmc,7,2404,16,0.3942
hydraulic head,buckling,2,84,88,0.3863
structural failure,cracking,3,26,518,0.3831
lid,gutting,3,3515,4,0.3795
storm water,debris accumulation,3,2404,6,0.3773
precipitation,nas,3,4919,3,0.3754
nature,spd,2,2204,4,0.3719
mountains,decay,14,172,755,0.37
bulk density,hydrolysis,3,30,554,0.3654
landslide,collapse,2,15,673,0.3609
stress corrosion cracking,cracking,5,70,518,0.3581
mmv,oxidation,4,4,6910,0.3553
sediment accumulation,breakage,7,38,1574,0.3541
ground movement,deformation,6,25,1992,0.3518
erosion,scouring,9,561,157,0.3498
ice formation,freezing,24,78,4274,0.349
atmospheric oxidation,contamination,2,2,5916,0.3479
flood,fisheye,2,1739,7,0.3456
water level,lwl,33,15225,36,0.3419
tcd,freezing,2,3,4274,0.3414
erosion,incrustation,2,561,23,0.3408
waterways,inaccessible,2,261,50,0.3399
soil erosion,scour,2,129,104,0.3377
erosion,scour,6,561,104,0.3376
permeability coefficient,porosity,12,175,848,0.337
erosion,internal corrosion,4,561,61,0.3369
storm drain,backing up,5,480,96,0.3369
thermal expansion,cracking,10,233,518,0.3335
slope instability,corrosion,3,3,8699,0.3273
nature,fisheye,2,2204,7,0.3263
landslides,collapse,4,58,673,0.3255
pas,degradation,2,10,1567,0.325
seismic activity,leaks,4,15,2629,0.3246
eps,biofilm formation,2,103,154,0.324
urban heat island,porosity,3,32,848,0.324
ground subsidence,fracture,5,370,145,0.3235
lid,hmc,5,3515,16,0.3194
structural failure,leaching,2,26,648,0.3191
ground subsidence,breakage,29,370,1574,0.3175
gradient,hmc,2,1078,16,0.3172
rain,debris accumulation,3,4929,6,0.3167
land subsidence,collapse,2,26,673,0.316
bss,scaling,2,23,769,0.3151
subsidence,breakage,21,253,1574,0.3129
load capacity,collapse,2,27,673,0.3129
storm drain,accumulated sediment,2,480,38,0.3126
storm,overwhelmed,5,2257,27,0.3123
ground subsidence,deformation,33,370,1992,0.3105
gradient,metal loss,5,1078,59,0.3085
ground subsidence,collapse,14,370,673,0.3068
cities,environmental damage,2,293,67,0.3066
flooding,external damage,2,2187,9,0.3064
erosion,such damage,2,561,36,0.3043
subsidence,collapse,10,253,673,0.3012
underground channel,dirty water,2,78,270,0.3009
