term_1,term_2,co_occurrences,freq_term_1,freq_term_2,npmi
cardholder,collate,2,2,2,1.0
electrodialyzer,electrodialyze,2,2,2,1.0
chalk,obligate,3,3,3,1.0
boehmite,template,3,3,3,1.0
itv,magnify,2,2,2,1.0
pcri,parametrise,2,2,2,1.0
glasshouse,orientate,2,2,2,1.0
nanostructure,template,3,3,3,1.0
fθωspall,parametrise,2,2,2,1.0
impactor,bodyintroduce,2,2,2,1.0
rutotomoni,gate,2,2,2,1.0
impactorafter,bodyintroduce,2,2,2,1.0
oxalate,fluorinate,4,4,5,0.978
bypipe,focculate,3,4,3,0.9724
hydrometer,template,3,4,3,0.9724
ban,forbid,2,3,2,0.9626
naturalization,stock,2,2,3,0.9626
dwf,storm,2,3,2,0.9626
wellshaft,ducte,4,6,4,0.96
disodium,fluorinate,4,5,5,0.956
metasilicate,fluorinate,4,5,5,0.956
inflammation,dilate,3,3,5,0.951
metaborate,fluorinate,3,3,5,0.951
quantum,template,3,5,3,0.951
inflammation,heal,3,3,5,0.951
preload,preloade,4,4,7,0.9448
wavelet,segment,4,5,6,0.938
borate,fluorinate,4,6,5,0.938
tertiary,deuterate,2,2,4,0.936
warner,dechlorinate,2,2,4,0.936
pout,parametrise,2,4,2,0.936
trapezoid,mass,2,3,3,0.9252
mountainside,moor,2,3,3,0.9252
gui,finalise,2,3,3,0.9252
arthritis,dilate,3,4,5,0.9234
bypipe,encircle,3,4,5,0.9234
neuralgia,dilate,3,4,5,0.9234
boric,fluorinate,3,4,5,0.9234
arthritis,heal,3,4,5,0.9234
neuralgia,heal,3,4,5,0.9234
otbn,template,3,7,3,0.9188
mallet,cap,3,3,7,0.9188
methacrylamide,sulfonate,2,2,5,0.9154
acryloxy,sulfonate,2,2,5,0.9154
hinderance,valve,2,2,5,0.9154
sulfoxide,electroplate,2,2,5,0.9154
permission,collate,2,5,2,0.9154
butadiene,sulfonate,2,2,5,0.9154
methylpropanesulfonic,sulfonate,2,2,5,0.9154
hydroxypropanesulfonic,sulfonate,2,2,5,0.9154
methacryloxy,sulfonate,2,2,5,0.9154
pall,parametrise,2,5,2,0.9154
hydroxypropane,sulfonate,2,2,5,0.9154
spd,stream,4,4,10,0.9096
numeral,denote,76,119,94,0.9082
conjugation,bundle,4,4,11,0.9003
policy,dictate,6,8,12,0.8993
niche,densifie,2,4,3,0.8986
firefighter,park,2,3,4,0.8986
skimming,subcoole,2,6,2,0.8986
conformation,denature,2,3,4,0.8986
mound,orientate,2,6,2,0.8986
thyristor,gate,2,6,2,0.8986
chlorkalki,package,2,2,6,0.8986
electrodialyzer,dialyze,2,2,6,0.8986
allyl,copolymerize,2,3,4,0.8986
updating,collate,2,6,2,0.8986
cleanup,mineralize,2,3,4,0.8986
flocculent,shed,3,9,3,0.8947
opposition,preloade,3,4,7,0.8912
percolation,percolate,3,7,4,0.8912
propellant,rush,6,10,11,0.8853
interconnectability,bisect,2,2,7,0.8844
triac,gate,2,7,2,0.8844
mushroom,bodyintroduce,2,7,2,0.8844
sonicator,sonicate,2,3,5,0.878
timekeeping,time,2,3,5,0.878
lookup,text,2,8,2,0.8721
igniter,ignite,2,2,8,0.8721
pigging,pig,2,8,2,0.8721
boat,board,2,8,2,0.8721
leader,percolate,2,4,4,0.8721
acrylamide,compise,2,8,2,0.8721
orderer,expire,5,7,13,0.8697
shredding,sack,4,12,5,0.8697
skimming,skim,3,6,6,0.8671
loan,own,6,7,19,0.8658
role,play,66,155,77,0.8626
