term_1,term_2,co_occurrences,freq_term_1,freq_term_2,npmi
bloom,blooming,2,2,2,1.0
overwhelm,overwhelmed,2,2,4,0.936
back,backing up,7,16,7,0.9137
pit,pitting corrosion,6,7,12,0.913
stream,spd,4,10,4,0.9096
chip,chipping,2,3,4,0.8986
leach,leaching,41,50,81,0.8875
soften,softening,211,248,435,0.8567
bypass,bypassing,71,163,90,0.853
suspend,suspended solids,1040,1781,1194,0.8524
crush,crushing,317,531,447,0.851
plug,plugging,10,21,20,0.8444
lift,lifting,376,538,663,0.8347
sag,sag,11,22,25,0.8342
peel,peeling,49,100,87,0.8314
scour,scouring,5,5,27,0.83
shear,shearing force,15,27,38,0.828
foul,fouling,207,212,601,0.8241
check,checking,246,554,315,0.8241
burst,burst,28,51,70,0.815
shield,shielding,94,122,265,0.8143
freeze,freezing,286,377,683,0.8047
block,blocked,737,1801,918,0.774
dent,dent,2,4,12,0.7707
access,difficult to access,3,35,4,0.7369
collapse,collapse,38,80,144,0.7368
text,scd,2,2,35,0.7358
roughen,shearing force,2,2,38,0.7282
localize,localized corrosion,2,45,2,0.7126
scale,scaling,18,38,106,0.7082
swell,swelling,25,61,117,0.7069
crack,cracking,27,67,123,0.7054
warp,external impact,6,16,44,0.6946
fracture,fracture,2,3,37,0.6933
add,add,364,1709,437,0.6929
attempt,pfr,2,28,4,0.6924
biofoule,biofouling,3,3,77,0.6888
loosen,wall loss,5,79,7,0.6878
scrap,accumulated sediment,4,44,10,0.6732
crack,wall loss,4,67,7,0.6669
straddle,shearing force,2,4,38,0.6643
decay,decay,32,70,227,0.6599
look,scd,17,166,35,0.6549
fail,mill scale,3,70,5,0.649
accelerate,wall thinning,15,193,26,0.648
aid,biofilm formation,2,8,27,0.6318
depict,psd,6,24,56,0.6282
rupture,rupture,9,29,91,0.6266
relax,bending stress,4,21,35,0.6226
trickle,mechanical damage,2,15,16,0.6221
propagate,pressure transient,14,181,32,0.6191
diagnose,equipment failure,5,31,38,0.6116
classify,external damage,2,136,2,0.6106
excavation,collapse,2,2,144,0.6053
deform,dent,7,181,12,0.6043
foul,organic fouling,5,212,6,0.6038
electrolyze,electrolysis,227,446,1355,0.5966
hydrolyze,hydrolysis,13,29,219,0.5954
scum,untreated water,2,3,113,0.5902
wear,wear,28,57,403,0.5879
leak,leaks,206,729,758,0.586
roughen,cavitation,2,2,189,0.5802
undertake,psd,2,7,56,0.5768
rust,rust,7,9,317,0.5758
bend,bending stress,18,364,35,0.5749
involve,joint leak,2,141,3,0.5698
denature,hydrolysis,3,4,219,0.561
shorten,hydrogen embrittlement,3,230,4,0.5563
relieve,fatigue,5,44,48,0.5527
exfoliate,peeling,2,6,87,0.5504
exude,peeling,2,6,87,0.5504
alternate,metal loss,3,98,10,0.5503
present,leakage risk,2,68,8,0.5466
depress,obstacles,2,4,143,0.5419
sonicate,hydrolysis,3,5,219,0.5396
inhibit,biofilm formation,13,400,27,0.5362
solubilize,crushing,21,51,447,0.5349
gel,swelling,3,10,117,0.5333
number,bypassing,2,7,90,0.533
inhibit,white rust,9,400,16,0.5317
rot,blister,2,17,38,0.5307
crack,scc,2,67,10,0.5274
mass,decay,2,3,227,0.5258
impair,biological degradation,2,53,13,0.5248
render,ineffective,2,18,39,0.523
obligate,add,3,3,437,0.5224
germinate,obstacles,2,5,143,0.5214
maximize,hydrogen embrittlement,3,335,4,0.5203
shear,cavitation,7,27,189,0.5152
sack,crushing,4,5,447,0.513
normalize,psd,3,26,56,0.5123
coalesce,inclusion,2,11,73,0.5106
continue,backing up,5,468,7,0.5084
characterise,joint leak,2,279,3,0.5068
solubilize,hydrolysis,11,51,219,0.5044
reconstitute,softening,2,2,435,0.5032
in,softening,2,2,435,0.5032
load,wall loss,3,232,7,0.5018
grind,crushing,22,73,447,0.5009
harden,contact with the pipeline,2,112,8,0.5005
believe,scaling,4,24,106,0.5002
weight,biofouling,3,22,77,0.4978
ensure,spalling,2,479,2,0.4943
desulfonate,degradation,2,2,484,0.4934
dehalogenate,degradation,2,2,484,0.4934
unillustrate,degradation,2,2,484,0.4934
deaminate,degradation,2,2,484,0.4934
complexe,leaching,2,12,81,0.493
involve,leakage risk index,2,141,7,0.4916
hinder,shearing force,4,74,38,0.4903
reactivate,checking,4,9,315,0.4895
imply,inclusion,2,14,73,0.4884
size,void,4,32,92,0.4858
tear,external impact,2,24,44,0.4854
seek,psd,2,19,56,0.4847
warp,cracking,3,16,123,0.4834
wire,equipment failure,3,52,38,0.483
dictate,blockage,6,12,464,0.4822
thrive,decay,2,5,227,0.4787
pulverize,crushing,23,94,447,0.4787
germinate,decay,2,5,227,0.4787
think,shearing force,2,30,38,0.4783
read,leakage risk index,2,165,7,0.4771
break,buckling,2,387,3,0.4766
elevate,lifting,28,87,663,0.4755
warrant,fouling,2,2,601,0.4734
utilise,hydrolysis,3,10,219,0.4732
suppress,wall thinning,14,828,26,0.4714
thaw,softening,8,22,435,0.47
delete,add,5,11,437,0.4698
regenerate,softening,52,346,435,0.4695
rinse,biological degradation,2,99,13,0.4671
rehabilitate,obstacles,2,9,143,0.4671
oxidize,oxidation,201,601,1860,0.4666
deform,stress concentration,3,181,13,0.4663
preselecte,softening,2,3,435,0.4658
represent,external corrosion,2,262,5,0.4655
steer,lifting,2,2,663,0.4643
accumulate,accumulated sediment,9,1205,10,0.4639
establish,psd,7,150,56,0.4631
avoid,pfr,2,337,4,0.4628
corrosion,deposits,2,3,453,0.4621
gate,freezing,2,2,683,0.4616
record,equipment failure,7,226,38,0.4608
forego,biofouling,2,18,77,0.4603
repair,contact with the pipeline,3,317,8,0.4591
conceal,obstacles,4,27,143,0.459
leak,leak,248,729,2185,0.4589
dictate,breakage,6,12,587,0.4581
restore,such damage,2,143,10,0.4574
deform,deformation,39,181,600,0.4573
inhibit,corrosion,209,400,3147,0.4566
dwell,degradation,2,3,484,0.456
identify,pressure transient,13,694,32,0.4557
cease,rupture,2,16,91,0.4557
understand,sub surface leaks,2,147,10,0.4548
place,imperfection,2,762,2,0.4515
place,tuberculation,2,762,2,0.4515
compact,collapse,4,29,144,0.4513
pulverize,hydrolysis,12,94,219,0.4512
constrict,blocked,3,3,918,0.4512
incur,leaching,2,19,81,0.4506
average,biofouling,2,20,77,0.4505
segment,blockage,3,6,464,0.4502
rub,wear,7,24,403,0.4484
diffuse,such damage,2,158,10,0.4482
aggravate,contamination,15,20,1462,0.4481
disrupt,collapse,2,11,144,0.4479
inform,equipment failure,2,42,38,0.4472
state,inclusion,2,22,73,0.4467
involve,psd,6,141,56,0.4463
alleviate,external impact,2,37,44,0.4454
regenerate,cross contamination,4,346,13,0.444
recognize,scd,4,130,35,0.4429
sensitize,fouling,3,5,601,0.4428
breed,swelling,4,39,117,0.4426
predict,external corrosion,4,919,5,0.4419
adapt,bending stress,6,236,35,0.4417
degrade,degradation,18,84,484,0.4406
thaw,freezing,9,22,683,0.4402
group,checking,4,15,315,0.4391
afford,add,2,4,437,0.4388
score,deformation,2,3,600,0.4361
strain,deformation,2,3,600,0.4361
shield,water loss,4,122,40,0.436
wind,contact with the pipeline,2,227,8,0.4353
corrosive,blocked,2,2,918,0.4343
step,scour,2,88,21,0.4337
protect,environmental degradation,2,311,6,0.4328
georeference,leaks,8,18,758,0.4325
construct,pfr,2,474,4,0.4313
see,waf,2,633,3,0.4312
counteract,fouling,8,23,601,0.4311
train,psd,2,34,56,0.431
account,rupture,2,21,91,0.4306
wet,porosity,4,24,218,0.4291
evaluate,fouling,30,156,601,0.4283
illuminate,shielding,4,20,265,0.4278
retire,lifting,2,3,663,0.4269
corrode,electrolytic corrosion,2,125,16,0.4264
eliminate,cross contamination,4,416,13,0.4258
electrolysi,electrolysis,4,4,1355,0.4256
shear,crushing,7,27,447,0.4253
overload,decay,2,9,227,0.4245
shake,external impact,2,47,44,0.4233
identify,coating degradation,2,694,3,0.4227
derive,psd,9,317,56,0.4224
transform,decay,5,34,227,0.422
fire,burst,3,54,70,0.4208
uncover,add,2,5,437,0.4182
lead,tuberculation,2,1112,2,0.4166
brush,crushing,2,5,447,0.4162
sonicate,crushing,2,5,447,0.4162
weight,fouling,7,22,601,0.4158
occlude,fouling,4,10,601,0.4154
paint,pit,2,7,323,0.4151
vortexe,untreated water,2,20,113,0.4151
finalise,leaks,2,3,758,0.4146
liquefy,bending stress,2,65,35,0.4145
evaluate,wall thinning,3,156,26,0.4141
prefer,white rust,3,254,16,0.4139
impress,electrolysis,6,8,1355,0.4138
warp,collapse,2,16,144,0.4134
query,blockage,2,5,464,0.4127
define,leakage risk index,2,332,7,0.4126
harden,scour,2,112,21,0.4115
judge,scd,3,119,35,0.4115
damage,external impact,11,600,44,0.4101
deform,fatigue,5,181,48,0.4101
pretreatment,fouling,2,4,601,0.4094
accumulate,imperfection,2,1205,2,0.4092
build,mid,4,357,18,0.4088
repeat,wall loss,2,348,7,0.4082
counteract,scaling,2,23,106,0.4081
roll,scouring,2,91,27,0.4074
avoid,stress concentration,3,337,13,0.4067
categorize,leak detection,2,8,313,0.4057
result,tbs,2,838,3,0.4053
project,bending stress,3,129,35,0.4038
spend,pit,4,21,323,0.4035
detach,mid,2,143,18,0.4031
present,equipment failure,2,68,38,0.4028
promote,biofilm formation,6,451,27,0.4018
deionize,bypassing,2,29,90,0.4018
extract,leakage risk,2,327,8,0.4016
twist,collapse,5,66,144,0.4011
estimate,pipeline damage,3,665,7,0.4009
insulate,freezing,36,222,683,0.4006
strand,leak,7,7,2185,0.4006
optimize,equipment failure,3,123,38,0.4005
ship,crushing,2,6,447,0.3993
electrolysis,electrolysis,2,2,1355,0.3984
intermittent,electrolysis,2,2,1355,0.3984
sinter,porosity,4,33,218,0.3977
wicke,leak,14,19,2185,0.3975
cement,wear,3,12,403,0.3972
scatter,water loss,3,121,40,0.3971
refine,obstacles,3,34,143,0.3967
immobilize,inclusion,2,38,73,0.3962
verify,leak detection,4,24,313,0.3934
create,plastic deformation,2,715,4,0.3934
avoid,internal corrosion,3,337,15,0.393
arrange,tuberculation,2,1450,2,0.3921
register,burst,3,73,70,0.3919
rake,pit,2,9,323,0.3919
leak,structural damage,2,729,4,0.3916
promulgate,contamination,2,2,1462,0.3914
binarize,contamination,2,2,1462,0.3914
crush,shearing force,8,531,38,0.3911
adhere,accumulated sediment,3,516,10,0.391
reinforce,contact with the pipeline,3,645,8,0.391
consider,leakage risk,2,368,8,0.3907
split,void,2,32,92,0.3907
deviate,equipment failure,2,78,38,0.3901
subtract,scd,2,85,35,0.3898
resume,checking,5,34,315,0.389
happen,rupture,2,33,91,0.3889
creep,leaks,2,4,758,0.388
forego,fouling,5,18,601,0.388
