var1,var2
usda_hydrologic_group,pai_landslide_hazard_level
usda_hydrologic_group,rooting_depth_class
usda_hydrologic_group,surface_stoniness_class
usda_hydrologic_group,landslide_surface_class
usda_hydrologic_group,descending_soil_presence
usda_hydrologic_group,ascending_soil_presence
usda_hydrologic_group,hydraulic_hazard_level
pai_landslide_hazard_level,tipo_movimento_<lambda_0>_1ring
pai_landslide_hazard_level,rooting_depth_class
pai_landslide_hazard_level,surface_stoniness_class
pai_landslide_hazard_level,landslide_surface_class
pai_landslide_hazard_level,descending_soil_presence
pai_landslide_hazard_level,ascending_soil_presence
pai_landslide_hazard_level,hydraulic_hazard_level
tipo_movimento_<lambda_0>_1ring,rooting_depth_class
tipo_movimento_<lambda_0>_1ring,surface_stoniness_class
tipo_movimento_<lambda_0>_1ring,landslide_surface_class
tipo_movimento_<lambda_0>_1ring,descending_soil_presence
tipo_movimento_<lambda_0>_1ring,ascending_soil_presence
tipo_movimento_<lambda_0>_1ring,hydraulic_hazard_level
rooting_depth_class,surface_stoniness_class
rooting_depth_class,landslide_surface_class
rooting_depth_class,descending_soil_presence
rooting_depth_class,ascending_soil_presence
rooting_depth_class,hydraulic_hazard_level
surface_stoniness_class,landslide_surface_class
surface_stoniness_class,descending_soil_presence
surface_stoniness_class,ascending_soil_presence
surface_stoniness_class,hydraulic_hazard_level
landslide_surface_class,descending_soil_presence
landslide_surface_class,ascending_soil_presence
landslide_surface_class,hydraulic_hazard_level
