column_1,column_2,effect
max_peak_elevation_1ring,landslide_point_count_1ring,positive
max_peak_elevation_1ring,avg_descending_soil_speed,positive
max_peak_elevation_1ring,avg_ascending_soil_speed,positive
max_peak_elevation_1ring,idw_temp_thermal_range,positive
max_peak_elevation_1ring,idw_wind_speed_max_95p,positive
max_peak_elevation_1ring,idw_wind_speed_avg_mean,positive
max_peak_elevation_1ring,dtmidcnt_mean,positive
landslide_point_count_1ring,seismic_event_count_1ring,positive
landslide_point_count_1ring,avg_seismic_magnitude_1ring,positive
landslide_point_count_1ring,avg_descending_soil_speed,positive
landslide_point_count_1ring,avg_ascending_soil_speed,positive
landslide_point_count_1ring,idw_rain_mm_sum_annual,positive
landslide_point_count_1ring,idw_rain_mm_avg_monthly,positive
seismic_event_count_1ring,avg_descending_soil_speed,positive
seismic_event_count_1ring,avg_ascending_soil_speed,positive
avg_seismic_magnitude_1ring,avg_descending_soil_speed,positive
avg_seismic_magnitude_1ring,avg_ascending_soil_speed,positive
avg_seismic_magnitude_1ring,idw_rain_mm_sum_annual,positive
road_density_m_per_m2,avg_descending_soil_speed,positive
road_density_m_per_m2,avg_ascending_soil_speed,positive
census_pop,epr_NTAXP,positive
census_pop,erd_E0_10000,positive
census_pop,eidx_EMPL_RAT,negative
census_pop,eidx_INDEX_AC,positive
census_pop,inflow_total,negative
census_pop,edst_acq_imm,positive
census_pop,edst_acq_erog,positive
census_pop,eidx_LAND_CON,positive
census_pop,road_density_m_per_m2,positive
edst_acq_imm,eidx_LAND_CON,positive
edst_acq_erog,eidx_LAND_CON,positive
