variable_1,variable_2,cramers_v
surface_stoniness_class,rooting_depth_class,0.4841660983307869
surface_stoniness_class,usda_hydrologic_group,0.44477084725080007
landslide_surface_class,rooting_depth_class,0.43782281855348637
landslide_surface_class,surface_stoniness_class,0.4340843579441678
rooting_depth_class,usda_hydrologic_group,0.381046521069668
landslide_surface_class,usda_hydrologic_group,0.38006667767122115
landslide_surface_class,hydraulic_hazard_level,0.3243350951427326
pai_landslide_hazard_level,landslide_surface_class,0.298246301679373
rooting_depth_class,hydraulic_hazard_level,0.28005062451774193
surface_stoniness_class,hydraulic_hazard_level,0.27712163663952427
pai_landslide_hazard_level,hydraulic_hazard_level,0.24840748157329468
hydraulic_hazard_level,usda_hydrologic_group,0.2400357571650982
pai_landslide_hazard_level,surface_stoniness_class,0.20398523396454882
pai_landslide_hazard_level,tipo_movimento_<lambda_0>_1ring,0.18200433422723006
pai_landslide_hazard_level,usda_hydrologic_group,0.17568292790957626
pai_landslide_hazard_level,rooting_depth_class,0.15754102486884256
landslide_surface_class,tipo_movimento_<lambda_0>_1ring,0.1465248072250275
hydraulic_hazard_level,tipo_movimento_<lambda_0>_1ring,0.12181436181093225
usda_hydrologic_group,tipo_movimento_<lambda_0>_1ring,0.1004715592820813
surface_stoniness_class,tipo_movimento_<lambda_0>_1ring,0.08829514264872647
rooting_depth_class,tipo_movimento_<lambda_0>_1ring,0.07974160065284612
landslide_surface_class,is_locality_1ring,0.05435689791852115
usda_hydrologic_group,is_locality_1ring,0.053344268928164545
surface_stoniness_class,is_locality_1ring,0.050977579455356636
landslide_surface_class,ascending_soil_presence,0.04939459350690416
surface_stoniness_class,ascending_soil_presence,0.04491326252400769
hydraulic_hazard_level,ascending_soil_presence,0.04093629252292565
rooting_depth_class,ascending_soil_presence,0.03970105368516996
rooting_depth_class,is_locality_1ring,0.0369618483974252
pai_landslide_hazard_level,is_locality_1ring,0.032478120415877665
is_locality_1ring,tipo_movimento_<lambda_0>_1ring,0.03007104521182488
pai_landslide_hazard_level,ascending_soil_presence,0.02531299526213166
hydraulic_hazard_level,is_locality_1ring,0.020696106656077365
usda_hydrologic_group,ascending_soil_presence,0.018443093381615972
tipo_movimento_<lambda_0>_1ring,ascending_soil_presence,0.017740694444654478
tipo_movimento_<lambda_0>_1ring,class_intervention_1ring,0.013183014015532058
surface_stoniness_class,class_intervention_1ring,0.012279027112851375
is_locality_1ring,class_intervention_1ring,0.012210979290990055
landslide_surface_class,class_intervention_1ring,0.011640749091173823
pai_landslide_hazard_level,class_intervention_1ring,0.010542545084924764
hydraulic_hazard_level,class_intervention_1ring,0.010004016918275963
rooting_depth_class,class_intervention_1ring,0.00861981880112342
is_locality_1ring,ascending_soil_presence,0.006939717316475279
usda_hydrologic_group,class_intervention_1ring,0.005111220608728245
class_intervention_1ring,ascending_soil_presence,0.001978217520755723
