antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'landslide_surface_class=2', 'surface_stoniness_class=4'})","frozenset({'usda_hydrologic_group=C', 'rooting_depth_class=4'})",0.05451812171013246,0.11100074056664434,0.05399041254440074,0.9903204815357084,8.921746616105903,1.0,0.047938860660273586,91.84333525608055,0.9391130009488429,0.48409542743538764,0.9891118936696738,0.7383586747097662
"frozenset({'usda_hydrologic_group=C', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'surface_stoniness_class=4'})",0.11100074056664434,0.05451812171013246,0.05399041254440074,0.4863968678838241,8.921746616105903,1.0,0.047938860660273586,1.840880281228506,0.9987795992422973,0.48409542743538764,0.4567816222504959,0.7383586747097662
"frozenset({'surface_stoniness_class=4', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=C'})",0.05470437200392012,0.12555043613610462,0.05399041254440074,0.9869487678339819,7.8609744275525015,1.0,0.04712225478075686,67.00130322872702,0.9232977300798251,0.4275980753696485,0.98507491717607,0.7084892186160585
"frozenset({'landslide_surface_class=2', 'usda_hydrologic_group=C'})","frozenset({'surface_stoniness_class=4', 'rooting_depth_class=4'})",0.12555043613610462,0.05470437200392012,0.05399041254440074,0.4300296693981351,7.8609744275525015,1.0,0.04712225478075686,1.6584997099724248,0.9981013698795892,0.4275980753696485,0.39704541762227574,0.7084892186160585
"frozenset({'landslide_surface_class=2', 'rooting_depth_class=4'})","frozenset({'surface_stoniness_class=4', 'usda_hydrologic_group=C'})",0.14998913539952904,0.05399041254440074,0.05399041254440074,0.3599621559293972,6.667149572775922,1.0,0.04589243724700219,1.4780525811396312,1.0000000000000002,0.3599621559293972,0.3234340829546372,0.6799810779646986
"frozenset({'surface_stoniness_class=4', 'usda_hydrologic_group=C'})","frozenset({'landslide_surface_class=2', 'rooting_depth_class=4'})",0.05399041254440074,0.14998913539952904,0.05399041254440074,1.0,6.667149572775922,1.0,0.04589243724700219,inf,0.8985224630615766,0.3599621559293972,1.0,0.6799810779646986
"frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})","frozenset({'usda_hydrologic_group=B', 'rooting_depth_class=4'})",0.11618470707706771,0.10932005339175088,0.06330292723378403,0.5448473282442748,4.983965076304913,1.0,0.05060160885281405,1.9568817275585852,0.9044384566378452,0.39027257566230145,0.48898291301048397,0.5619539253585483
"frozenset({'usda_hydrologic_group=B', 'rooting_depth_class=4'})","frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})",0.10932005339175088,0.11618470707706771,0.06330292723378403,0.5790605224728217,4.983965076304912,1.0,0.05060160885281405,2.0996255759021034,0.8974677632836902,0.39027257566230145,0.5237246052452231,0.5619539253585483
"frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})","frozenset({'surface_stoniness_class=2', 'usda_hydrologic_group=B'})",0.11618470707706771,0.11944408721835187,0.05944931996470113,0.5116793893129771,4.2838402572208745,1.0,0.04557174367914919,1.8032331495137706,0.8673357405443843,0.3374361297792544,0.4454405409141668,0.5046980573815674
"frozenset({'surface_stoniness_class=2', 'usda_hydrologic_group=B'})","frozenset({'landslide_surface_class=2', 'pai_landslide_hazard_level=Moderata P1'})",0.11944408721835187,0.11618470707706771,0.05944931996470113,0.4977167254501577,4.2838402572208745,1.0,0.04557174367914919,1.7595953074786888,0.8705461861816477,0.3374361297792544,0.4316875046496386,0.5046980573815674
