variable,gearys_C,p_value
idw_rain_mm_avg_monthly,2.2233e-04,1.0000e-03
idw_rain_mm_sum_annual,2.2257e-04,1.0000e-03
idw_wind_speed_max_95p,3.4849e-04,1.0000e-03
nearest_hydro_distance_m,4.2316e-04,1.0000e-03
idw_wind_speed_avg_mean,4.3864e-04,1.0000e-03
idw_temp_thermal_range,1.0049e-03,1.0000e-03
avg_seismic_magnitude_1ring,4.2727e-01,1.0000e-03
seismic_event_count_1ring,4.2819e-01,1.0000e-03
total_intervention_cost_1ring,4.2861e-01,1.0000e-03
active_fountains_count_1ring,4.2890e-01,1.0000e-03
avg_ascending_soil_speed,5.8236e-01,1.0000e-03
avg_descending_soil_speed,6.0463e-01,1.0000e-03
