variable,moran_I,p_value
idw_rain_mm_avg_monthly,0.9997801476771053,0.001
idw_rain_mm_sum_annual,0.9997798698325999,0.001
idw_wind_speed_max_95p,0.9996535576333173,0.001
idw_wind_speed_avg_mean,0.9995632652237838,0.001
nearest_hydro_distance_m,0.9995272422277708,0.001
idw_temp_thermal_range,0.9990097312128805,0.001
dtmidcnt_max,0.9961163815594238,0.001
dtmidcnt_mean,0.995946368149509,0.001
nearest_hydro_river_stage_mean_m,0.9958407556081531,0.001
nearest_hydro_river_stage_max_m,0.9950464312445666,0.001
eidx_INDEX_AC,0.9923649371039314,0.001
eidx_POP_25_6,0.9907863147142756,0.001
eidx_PERSEMP,0.9880241153760385,0.001
eidx_POP_DEPE,0.9872308302524558,0.001
eidx_LAND_CON,0.9863211957399013,0.001
eidx_COMP_FRA,0.9862587712295763,0.001
eidx_EMPL_RAT,0.9825767749821326,0.001
epr_ENTROAIN01,0.9795876818691327,0.001
epr_ENTROAIN,0.9786756478709526,0.001
erd_E15000_2,0.9786437013994926,0.001
epr_PENSINCF,0.9784626359941142,0.001
epr_CADINCF,0.9783768661881798,0.001
erd_E10000_1,0.9783140941521619,0.001
erd_E26000_5,0.9782714121525984,0.001
epr_PENSINCR,0.9782138738461799,0.001
epr_TAXABINC,0.978205882008649,0.001
census_pop,0.9781904321478427,0.001
epr_NTAXP,0.9781768824718335,0.001
epr_SUBEMPTR,0.9780966380496164,0.001
inflow_total,0.9778317574920052,0.001
erd_E0_10000,0.977756579655311,0.001
edst_acq_imm,0.9776994098342796,0.001
epr_CADINCR,0.977682300167981,0.001
edst_acq_erog,0.9776077077964501,0.001
erd_E55000_7,0.9775956583211988,0.001
erd_E_GE1200,0.9775922781865071,0.001
erd_E75000_1,0.9773745607419481,0.001
dist_to_waterway_m,0.8507658004904861,0.001
surface_stoniness_class,0.785311639188458,0.001
landslide_surface_class,0.7800928067959516,0.001
rooting_depth_class,0.7293053412771193,0.001
total_fountains_count_1ring,0.7156452882813309,0.001
landslide_point_count_1ring,0.7106177019106303,0.001
road_density_m_per_m2,0.5915408627280446,0.001
max_peak_elevation_1ring,0.579460184084768,0.001
avg_seismic_magnitude_1ring,0.5728914342026108,0.001
seismic_event_count_1ring,0.5718659847849019,0.001
total_intervention_cost_1ring,0.5713887427504724,0.001
active_fountains_count_1ring,0.5710957233138229,0.001
avg_ascending_soil_speed,0.417568566890235,0.001
avg_descending_soil_speed,0.39528128419012676,0.001
