variable,cramers_v
pai_landslide_hazard_level,0.7543084236786998
landslide_surface_class,0.7515725209515098
surface_stoniness_class,0.7233793900482288
rooting_depth_class,0.6831730731270775
hydraulic_hazard_level,0.6605061271161314
usda_hydrologic_group,0.6566679958782474
is_locality_1ring,0.5867115384607333
tipo_movimento_<lambda_0>_1ring,0.5755011074042855
class_intervention_1ring,0.5713884327722077
ascending_soil_presence,0.4220786316454721
descending_soil_presence,0.41602083992584094
dominant_surface,0.3298172459294129
dominant_highway,0.298582855067151
dominant_tunnel,0.26815714076850644
dominant_building_1,0.21284253833266042
dominant_bridge,0.19802460357789098
dominant_building_2,0.10891269159188889
dominant_building_3,0.10248068689543292
